这张图片是关于欧普康视公司及其相关数据的图表，主要内容包括公司产品、营收、净利润、业务构成、毛利率、净利率、费用率等。以下是详细描述：

1. **标题**：图片的标题是“47 欧普康视：内生与外延打通角膜塑形镜全产业链”。

2. **左侧文字描述**：
   - **研发与产品**：公司拥有20年的深耕研发经验，产品线包括塑形镜、普通RGP、不规则角膜RGP、减少远视离焦RGP等。材料透氧充分，塑形良好，具备效果与耐久度，其中角膜塑形镜可降低近视600度，超过同类的500度。
   - **供应链优势**：公司具有智能设计、自动调节并生产等优势，配镜耗时短。公司增加镜片材料供应商及自研推进，核心材料成本逐年下降。自研材料已通过NMPA检测，将投入生产。本土供应链可压缩到货期，提高终端服务体验。
   - **渠道建设**：公司通过自建终端网点，与超过1500家终端建立合作。此外，通过自建眼视光技术培训学校及与安徽省内学校合作，持续培养专业验配队伍。建立合作关系的终端总数超过1500家。

3. **图表**：
   - **图1**：展示了欧普康视的营收及归母净利润（亿元，%）从2017年到2022年上半年的变化情况。
   - **图2**：展示了欧普康视的主营业务构成（亿元）从2017年到2022年上半年的变化情况。
   - **图3**：展示了欧普康视毛利率及净利率水平（%）从2017年到2022年上半年的变化情况。
   - **图4**：展示了欧普康视费用率水平（%）从2017年到2022年上半年的变化情况。

4. **数据来源**：图片底部注明数据来源于Wind和国盛证券研究所。

这张图片详细展示了欧普康视公司的产品、业务、财务表现以及市场拓展情况，为投资者提供了全面的公司分析。
