这张图片展示了一项关于移动健康应用（mHealth app）的研究，具体关注用户在使用健康应用后的反馈，包括他们的参与度和有效性。研究由Inkster等人发表在《JMIR MHealth and UHealth》期刊上，2018年第6卷第11期，页码为1-6。

### 研究背景
研究旨在评估用户在使用健康应用后的体验，特别是关注用户对应用提供的正念和身体活动技巧的反馈。这些技巧旨在帮助用户改善心理健康和应对压力。

### 研究方法
1. **用户反馈收集**：在18天内收集了预筛选后的用户反馈，共有80.6%的用户参与。
2. **用户来源**：用户来自不同的时区，其中48.1%来自美洲，26.4%来自欧洲，18.6%来自亚洲。
3. **主要事件或变化**：26.7%的用户提到了“关系问题/变化”作为主要事件，其中“分手”是最常提到的。
4. **心理健康变化**：15个用户承认他们有多个健康问题，其中4个用户提到正在经历抑郁症。
5. **应对能力**：59.7%的用户评估了至少一个健康工具，其中72个用户是高用户，15个是低用户，5个用户仅使用应用但没有完成健康工具。
6. **主题分析**：对282个反馈进行了主题分析，分为“有利的体验”和“不利的体验”两个主要主题。

### 研究结果
1. **有利的体验**：
   - 主题包括“有帮助”、“鼓励”等。
   - “有帮助”的反馈最多，有136个。
2. **不利的体验**：
   - 主题包括“无帮助”、“担忧”等。
   - “无帮助”的反馈最多，有138个。
3. **自由文本反馈**：只有17个用户提供了自由文本反馈，这些反馈被分析以了解用户在应用中的体验。

### 结论
研究结果显示，用户对应用提供的正念和身体活动技巧的体验是主要的主题。大多数用户认为这些技巧帮助他们感觉更好，但也有少数用户表示这些技巧没有帮助或他们没有使用这些技巧。这些发现对于改进健康应用的设计和用户体验具有重要意义。
