这张图片展示了中国互联网医院在数字医疗和互联网医疗领域的融资事件数量和融资事件规模。图片中包含两个图表和一张表格。

1. **图6：融资事件数量**
   - 图表展示了2013年至2020年期间，医疗信息化和互联网医疗领域的融资事件数量。
   - 横轴表示年份，纵轴表示融资事件数量。
   - 蓝色部分代表互联网医疗，绿色部分代表医疗信息化。
   - 从图中可以看出，互联网医疗的融资事件数量在2018年和2019年显著增加，而医疗信息化的融资事件数量相对稳定。

2. **图7：融资事件规模（亿元人民币）**
   - 图表展示了2013年至2020年期间，医疗信息化和互联网医疗领域的融资事件规模。
   - 横轴表示年份，纵轴表示融资规模。
   - 蓝色部分代表互联网医疗，绿色部分代表医疗信息化。
   - 从图中可以看出，互联网医疗的融资规模在2018年和2019年显著增加，而医疗信息化的融资规模相对稳定。

3. **表1：2019年医疗健康行业独角兽企业**
   - 表格列出了2019年医疗健康行业的独角兽企业，包括企业名称、业务领域和估值（以亿美元计）。
   - 例如，微医集团在互联网医疗领域，估值为65亿美元；联影医疗在医疗信息化领域，估值为64亿美元。

4. **文字描述**
   - 文字部分描述了中国互联网医院的发展趋势，指出医疗信息化和互联网医疗领域的投资活动显著增加。
   - 提到数字智慧医疗的投资重点逐渐转向后期投资，推动了数字智慧医疗领域的独角兽企业的发展。

总体而言，这张图片展示了互联网医院在数字医疗和互联网医疗领域的融资活动，以及该领域独角兽企业的发展情况。
