这张图片展示了一份关于医疗AI主要应用场景——AI医学影像的研究报告，具体内容如下：

1. **标题**：图片的标题是“2.2.1 医疗AI主要应用场景——AI医学影像”。

2. **主要内容**：图片主要介绍了AI医学影像在医疗领域的应用，包括胸部影像AI产品成熟度较高，心脏及乳腺影像AI产品有望在更多模态场景下实现商业应用。

3. **企业及产品**：
   - 科亚医疗的冠脉血流储备分数计算软件，用于冠心病等辅助评估，获批时间为2020年1月。
   - 数坤科技的冠脉CT造影图像血管狭窄辅助分诊软件，用于冠脉狭窄辅助分诊，获批时间为2020年11月。

4. **心血管、心脏、肺部和乳腺四个方面的AI应用情况**：
   - 心血管：AI技术在心血管影像的应用能够实现自动血管分割、影像三维重建，为疾病的诊断和治疗提供帮助。现有心血管AI产品以CT为主要模态。
   - 心脏：心脏AI产品主要集中在MRI和超声模态，较为典型的应用案例是安德医智BioMind研发的心脏超声/MRI辅助诊断系统。
   - 肺部：肺部疾病的检测以CT、DR为主要模态，人工智能技术在CT及DR影像中的应用，能够优化预处理流程、快速识别肺炎病例、减少肺部微小结节漏诊率、识别判断结节良恶性。
   - 乳腺：目前，国内针对乳腺影像的辅助诊断主要集中在乳腺钼靶场景，超声、MRI等模态应用加速普及。

5. **图片中的表格**：表格列出了企业、产品、应用价值和获批时间，并注明了资料来源为国家药监局和36氪研究院。

6. **图片底部**：图片底部有36氪研究院的标志和编号“16”。

这张图片详细介绍了AI在医疗影像领域的应用，特别是针对胸部、心脏、肺部和乳腺的辅助诊断功能，展示了AI技术在提高医疗诊断效率和准确性方面的潜力。
