这是一张关于2024年中国医疗大健康产业发展的白皮书的幻灯片，主要内容包括AI在制药领域的应用和趋势。幻灯片分为几个部分，每个部分都有图表和文字说明。

1. **标题和副标题**：
   - 标题：AI+制药：萌芽期挑战与机遇并存，新药自研模式为主流
   - 副标题：AI在制药板块处于萌芽期，近百项AI赋能的医药管线进入临床试验，但多处于临床早期，无一行至上市阶段；自主研发新药是目前生命科学类AI企业研制新药的主要模式

2. **全球AI参与研发的进入临床阶段且处于活跃状态的管线临床阶段分布（2023.10）**：
   - 图表显示不同临床阶段的分布情况：
     - 临床I期：49.5%
     - 临床II期：38.1%
     - 临床I/II期：6.2%
     - 临床III期：6.2%

3. **中国与海外的对比**：
   - 图表显示中国与海外的比例：
     - 中国：30.9%
     - 海外：69.1%

4. **新药开发模式**：
   - 图表显示新药开发模式的比例：
     - 自主研发：83.5%
     - 合作研发：16.5%

5. **文字说明**：
   - AI在制药板块仍处于萌芽期，赛道风险与机遇并存，新药自研模式为主流。
   - 相较于AI在CT影像、CDSS等领域较为成熟的应用，AI在制药板块仍处于萌芽期，赛道风险与机遇并存。
   - AI在制药中的应用纷繁复杂，涉及靶点发现、化合物合成和筛选、晶型预测、机制探索等环节，贯穿整个制药流程，有利于改善药物研发效率、减少研发成本和提高药物研发成功率。
   - 近百项AI赋能的医药管线进入临床试验，但多处于临床早期，无一行至上市阶段。截至2023年10月，进入临床的生命科学AI管线已有16款停止研发或从官网撤下，1款药物被降低了研发优先级，但管线总量仍保持高速增长，全球处于临床阶段且保持活跃状态的AI参与研发的管线总计97项，大部分AI药物研发项目处于临床早期阶段，而进入临床III期的药物占比仅6.2%，且多为扩充适应症药物。
   - 从新药开发模式来看，自主研发新药是目前生命科学类AI企业研制新药的主要模式。上述管线中，83.5%的管线为企业自研管线，而合作研发模式多为生命科学类AI企业协助大型药企进行研发，可见对于AI制药赛道，自主创研研发或协助MNC取得获批上市药物是获取盈利的唯一途径。

6. **来源**：
   - 弗若斯特沙利文、头豹研究院

7. **底部标识**：
   - 包含多个公司标识，如沙利文、头豹、LeadLeo等。

幻灯片整体内容详尽，通过图表和文字结合的方式，展示了AI在制药领域的现状、趋势以及不同阶段的分布情况。
