这张图片展示了G20国家在可持续和包容性增长方面的进展，分为三个主要部分：通过生产率增长、通过赋权实现包容性、通过净零排放实现可持续性。每个部分包含多个指标，并使用颜色编码来表示不同国家的表现。

### 通过生产率增长
- **GDP人均（2022年，千美元，2015年基准）**：展示了各国在2022年的人均GDP水平，以2015年为基准进行比较。
- **人均GDP增长率（2019-2022年，百分比）**：显示了各国在2019年至2022年期间的人均GDP增长率。

### 通过赋权实现包容性
- **赋权（2019-2022年，百分比）**：衡量了各国在赋权方面的进展，包括贫困人口比例的变化。
- **贫困人口比例（2022年，百分比）**：显示了各国在2022年生活在贫困线以下的人口比例。
- **底层20%人口消费份额（2022年，百分比）**：反映了最贫困20%人口的消费份额。
- **总体赋权（2022年，百分比）**：综合衡量了各国的赋权水平。

### 通过净零排放实现可持续性
- **每人总排放量（2022年，公吨）**：显示了各国在2022年的人均总排放量。
- **每人温室气体排放量（2022年，公吨）**：反映了各国在2022年的人均温室气体排放量。
- **清洁电力容量（2022年，千瓦）**：展示了各国在2022年的清洁电力容量。
- **每人清洁电力容量（2022年，千瓦）**：反映了各国在2022年的人均清洁电力容量。

### 国家表现
- **中等收入国家**：包括印度、印度尼西亚、南非、巴西、墨西哥、俄罗斯、中国、阿根廷、土耳其等。这些国家在GDP人均增长率、赋权、排放量等方面表现出不同的趋势。
- **高收入国家**：包括沙特阿拉伯、意大利、韩国、日本、法国、德国、加拿大、英国、澳大利亚、美国等。这些国家在GDP人均增长率、赋权、排放量等方面也表现出不同的趋势。

### 结论
这张图片展示了G20国家在可持续和包容性增长方面的进展，包括经济增长、赋权、排放量等多个方面。通过这些指标，可以评估各国在实现可持续和包容性增长方面的表现和挑战。
