### 互联网医院服务生态及运营模式概览

#### 一、服务生态
- **远程诊疗**：常见病、慢性病复诊，家庭医生签约服务。
- **远程诊断**：影像、超声、病理、心电、血压、血糖、胎心监测。
- **院后管理**：健康管理、药品配送。
- **健康管理**：健康人群的医养结合、健康教育。

#### 二、运营模式对比
- **医院+互联网**
  - **运营目标**：拓展诊疗模式。
  - **盈利模式**：线上诊疗。
  - **医务人员**：实体医院医务人员。
  - **患者人群**：实体医院患者导流。
  - **价格**：根据实体医院性质，公立为政府定价，民营为自主定价。

- **互联网+医院**
  - **运营目标**：患者新族群引流。
  - **盈利模式**：线上药品销售及健康管理。
  - **医务人员**：多点执业医生。
  - **患者人群**：平台招募。
  - **价格**：自主定价。

#### 三、数据概览
- **互联网+医院新增数量（2016-2020H1）**：17、18、5、173、166。
- **互联网+医院数值（2016-2020H1）**：18、44、21、50、49。

#### 四、雷达图维度对比
- **维度**：医疗资源、医保支付、平台运营、全流程管理、患者体验、政策监管。
- **模式特点**：
  - **医院+互联网**：实体医院基础上扩展。
  - **互联网+医院**：以互联网为基础构建新体系。

#### 五、结论
- 两种模式相互兼容，深度合作最佳。
- 实体医院主导线上延伸，形成大量“医院+互联网”三级医院。

**数据来源**：德勤分析

**页码**：7, 9
