这张图片展示了一份关于中国CGT（嵌合抗原受体T细胞免疫疗法）市场规模的报告，标题为“市场规模：规模快速扩张，赛道发展前景持续向好”。报告详细描述了中国CGT市场规模从2019年到2028年的增长趋势。

1. **市场规模**：
   - 2019年市场规模为0.3亿元人民币。
   - 2020年市场规模为0.2亿元人民币。
   - 2021年市场规模为2.7亿元人民币。
   - 2022年市场规模为15.0亿元人民币。
   - 2023年市场规模为32.8亿元人民币。
   - 2024年预计市场规模为85.2亿元人民币。
   - 2025年预计市场规模为178.9亿元人民币。
   - 2026年预计市场规模为254.2亿元人民币。
   - 2027年预计市场规模为361.4亿元人民币。
   - 2028年预计市场规模为513.7亿元人民币。

2. **年复合增长率**：
   - 2019-2023年的年复合增长率为223.8%。
   - 2023-2028年的年复合增长率为73.4%。

3. **全球CGT市场规模**：
   - 2019年市场规模为11.9亿美元。
   - 2020年市场规模为20.8亿美元。
   - 2021年市场规模为37.8亿美元。
   - 2022年市场规模为66.1亿美元。
   - 2023年市场规模为111.1亿美元。
   - 2024年预计市场规模为185.1亿美元。
   - 2025年预计市场规模为305.4亿美元。
   - 2026年预计市场规模为382.9亿美元。
   - 2027年预计市场规模为480.0亿美元。
   - 2028年预计市场规模为601.7亿美元。

4. **年复合增长率**：
   - 2019-2023年的年复合增长率为74.7%。
   - 2023-2028年的年复合增长率为40.2%。

5. **报告来源**：
   - 报告由弗若斯特沙利文和头豹研究院联合发布。

6. **图表**：
   - 图表展示了2019年至2028年全球和中国CGT市场规模的变化趋势，通过柱状图和折线图直观地展示了市场规模的增长情况。

这份报告详细描述了中国CGT市场在全球范围内的快速增长趋势，并预测未来几年市场规模将继续扩大。
