这张图片来自国盛证券，标题为“消费医疗行业深度行业图谱”，具体页码为“23”。图片内容主要围绕中国口腔医疗行业展开，详细分析了市场现状、患者数量、服务渗透率及相关数据。

### 主要内容概述：

#### 1. 市场规模与患者数量
- **患者基数**：2020年，中国口腔患者总数达到7.03亿人，对应就诊量1.58亿人次，10年复合年增长率（CAGR）为7%。
- **市场需求**：随着口腔卫生意识的提升，医疗服务需求持续增长。

#### 2. 服务渗透率
- **牙科服务渗透率**：2020年中国内地牙科服务渗透率约为24%，显著低于美国的70%和中国台湾的48.5%。
- **种植牙**：中国年种植牙数约为22颗/万人，远低于海外发达国家的100-500颗/万人。
- **正畸案例**：中国正畸案例数为310万例，渗透率仅0.3%，低于美国的1.8%。
- **洗牙渗透率**：中国洗牙渗透率不足10%，显著低于海外发达国家的75%。

#### 3. 口腔医院客单价
- **客单价增长**：口腔医院客单价持续增长，至2020年达到727.4元/人，近6年CAGR为8.8%。

#### 4. 图表分析
- **图1**：展示了2010年至2020年间中国口腔患者数和口腔门诊急诊人次的变化趋势。
- **图2**：展示了2014年至2020年间中国口腔正畸及种植牙数的变化趋势。
- **图3**：展示了2010年至2020年间中国口腔医院客单价的变化趋势，并标注了CAGR为8.8%。
- **图4**：展示了2019年和2020年美国、中国台湾和中国内地口腔医疗服务渗透率的数据。

#### 数据来源
- 数据来源于2020年中国口腔医疗行业报告、中国卫生健康统计年鉴、华经产业研究院、国盛证券研究所。

### 背景信息
- **行业现状**：中国口腔医疗市场庞大，但服务渗透率相对较低，存在较大的增长空间。
- **市场需求**：随着人们对口腔健康的重视程度提高，口腔医疗服务需求持续增长。
- **市场潜力**：高客单价和复购率驱动口腔医疗服务市场持续增长。

这张图片通过详细的数据和图表，全面分析了我国口腔医疗市场的现状、患者数量、服务渗透率及相关数据，为行业提供了全面的分析。
