### 报告页码：第15页

#### 主题：Z世代与千禧一代在应对气候变化的态度和行为

**1. 文字内容概要：**
- **职业选择与环保考量：**
  - 20%的Z世代和19%的千禧一代因环境问题跳槽或改行。
  - 26%的Z世代和23%的千禧一代计划未来更换工作或行业。
  - 72%的Z世代和71%的千禧一代认为环保资质和政策是重要考量因素。

**2. 图表内容概要：**
- **柱状图：**
  - Z世代：27%已研究公司环境政策，32%计划未来研究。
  - 千禧一代：25%已研究，30%计划未来研究。
- **条形图：**
  - **主要行动投入：**
    - 教育培训：Z世代25%，千禧一代29%。
    - 提供补贴：Z世代25%，千禧一代27%。
    - 翻新办公场所：Z世代19%，千禧一代21%。
    - 转变商业模式：Z世代19%，千禧一代19%。
    - 承诺净零排放：Z世代18%，千禧一代17%。
    - 与政府合作：Z世代18%，千禧一代18%。
- **饼状图：**
  - 施压雇主采取行动：Z世代54%，千禧一代48%。

### 报告页码：第16页

#### 主题：Z世代与千禧一代的可持续消费行为

**1. 文字内容概要：**
- **雇主努力与员工准备：**
  - 59%的Z世代和58%的千禧一代表示雇主提供低碳经济转型培训。
- **消费行为态度：**
  - 愿意支付更多费用：Z世代64%，千禧一代63%。
  - 因不可持续做法减少企业关系：Z世代25%，千禧一代24%。

**2. 图表内容概要：**
- **消费者行为推动气候行动：**
  - **研究公司环境影响：**
    - Z世代30%，千禧一代29%。
  - **避免快时尚：**
    - Z世代35%，千禧一代25%。
  - **减少航空旅行：**
    - Z世代30%，千禧一代23%。
  - **吃素/纯素饮食：**
    - Z世代26%，千禧一代24%。
  - **购买电动汽车：**
    - Z世代18%，千禧一代19%。

### 报告页码：第17页

#### 主题：生成式AI与工作

**页面布局概要：**
- **背景与设计：**
  - 浅绿色背景，顶部导航栏显示页码1-6。
  - 右上角有浅蓝色和白色像素化图案。
- **图片内容：**
  - 左图：女性操作电脑，显示技术图表或设计图。
  - 右图：男性编程，屏幕显示代码或编程界面。

**主题强调：**
- 页面传达科技与工作的结合，特别关注生成式AI在工作中的应用。
