这是一张关于中国慈善组织的信息表，标题为“附录二：主要慈善组织介绍”。表格中列出了多个慈善组织的名称、成立时间、登记机构、组织性质、主要援助项目类型和组织官网。具体信息如下：

1. **中华慈善总会**
   - 成立时间：1994年
   - 登记机构：民政部
   - 组织性质：全国性非营利公益社会团体
   - 主要援助项目类型：救灾扶贫、助医扶残、支教助学、安老助孤、患者援助、重大灾难
   - 组织官网：www.chinacharityfederation.org

2. **中国初级卫生保健基金会**
   - 成立时间：1996年
   - 登记机构：民政部
   - 组织性质：公募基金会
   - 主要援助项目类型：患者援助、疾病防治、科研发展、医生培养、学术会议
   - 组织官网：www.cphcf.org.cn

3. **中国癌症基金会**
   - 成立时间：1992年
   - 登记机构：民政部
   - 组织性质：公募基金会
   - 主要援助项目类型：药品援助、资金援助、患者关爱、专项基金、公益服务活动
   - 组织官网：www.cfchina.org.cn

4. **北京康盟慈善基金会**
   - 成立时间：2010年
   - 登记机构：北京市民政局
   - 组织性质：非公募基金会
   - 主要援助项目类型：药品援助、资金援助、公益科普、学术研究资助、公益活动
   - 组织官网：www.bjkmcf.org

5. **红心相通公益基金会**
   - 成立时间：2016年
   - 登记机构：北京市民政局
   - 组织性质：非公募基金会
   - 主要援助项目类型：药品援助、资金援助、公益科普
   - 组织官网：www.hongxinxianxiongtong.org

表格的右上角标注了“中国慈善援助年鉴 | 附录二：主要慈善组织介绍”，页码为36。
