这张图片展示了一份关于中国医疗大健康产业发展的白皮书，具体聚焦于生物制药产业的创新和海外市场渗透。图片中的折线图和两个扇形图提供了关于中国创新药上市申请审评审批时间以及制药企业出海项目类型的数据。

### 折线图：中国创新药上市申请审评审批时间（2018-2022）
- **单位**：日
- **趋势**：从2018年的692天逐渐减少到2022年的560天，显示出审批时间的缩短。
- **备注**：审批时间以递交NDA（新药申请）至上市所需时间计算。

### 扇形图：中国制药企业出海项目类型（2018 & 2022）
- **2018年**：
  - 创新药：40%
  - 技术：60%
- **2022年**：
  - 创新药：73%
  - 微创新：23%
  - 说明：出海产品覆盖适应症管线拓宽，研发进展整体成熟度提升，助力本土品牌在全球市场销售放量。

### 背景信息
- **白皮书标题**：2024年中国医疗大健康产业发展白皮书
- **联合发布**：沙利文（Frost & Sullivan）和头豹（LeadLeo）
- **内容概述**：
  - 本土品牌在全球市场初露头角，中国制造在质量、安全性和有效性方面获认可。
  - 创新药已成中国药企当下出海聚集，出海项目所处研发阶段日渐成熟。
  - 本土品牌对海外药品的可替代性提高。

### 其他信息
- **Logo**：CIC灼识咨询、沙利文、头豹、LeadLeo
- **页码**：35

### 总结
这张图片通过数据和图表展示了近年来中国生物制药产业在创新和国际化方面的进展。审批时间的缩短和出海项目类型的转变反映了产业的成熟和市场渗透力的增强。
