这张图片展示了2024年中国医疗大健康产业发展白皮书中的两个关键图表，分别涉及全球和中国AI医疗器械市场规模（按出厂价计算）的预测数据，以及AI技术在医学影像领域的应用和发展趋势。

### 全球和中国AI医疗器械市场规模预测
- **时间范围**：2016年至2030年
- **单位**：百万美元（左轴）；百分比（右轴）
- **全球市场规模**：
  - 2016年：86.5百万美元，同比增长57.5%
  - 2017年：136.2百万美元，同比增长52.6%
  - 2018年：207.9百万美元，同比增长51.7%
  - 2019年：315.4百万美元，同比增长12.7%
  - 2020年：355.5百万美元，同比增长88.3%
  - 2021年：669.3百万美元，同比增长83.9%
  - 2022年：1,230.8百万美元，同比增长214.7%
  - 2023年：3,873.8百万美元，同比增长139.6%
  - 2024年：9,281.1百万美元，同比增长90.7%
  - 2025年：17,701.9百万美元，同比增长63.5%
  - 2026年：28,946.6百万美元，同比增长43.2%
  - 2027年：43,650.9百万美元，同比增长36.8%
  - 2028年：62,502.7百万美元，同比增长33.0%
  - 2029年：85,477.0百万美元，同比增长33.0%
  - 2030年：113,677.4百万美元，同比增长33.0%

- **中国AI医疗器械市场规模**：
  - 2019年：124.7百万美元，同比增长134.0%
  - 2020年：291.8百万美元，同比增长73.7%
  - 2021年：506.8百万美元，同比增长128.0%
  - 2022年：1,155.6百万美元，同比增长81.2%
  - 2023年：3,524.5百万美元，同比增长20.4%
  - 2024年：9,281.1百万美元，同比增长51.1%
  - 2025年：29,970.0百万美元，同比增长46.7%
  - 2026年：40,760.0百万美元，同比增长36.0%
  - 2027年：53,022.0百万美元，同比增长30.1%
  - 2028年：62,987.1百万美元，同比增长18.8%
  - 2029年：75,568.8百万美元，同比增长20.0%
  - 2030年：75,568.8百万美元，同比增长39.2%

### AI技术在医学影像领域的应用和发展趋势
- **中国AI医疗器械三类证产品获批数量及适应症分布**（2020-2024.5）：
  - 2020年：7个
  - 2021年：6个
  - 2022年：19个
  - 2023年：22个
  - 2024年：8个
  - 适应症分布：肺部（22.6%）、头颅（14.5%）、骨骼（12.9%）、心血管（12.9%）、眼底（6.5%）、肠息肉（3.2%）、乳腺（3.2%）、胸腺（1.6%）和肝脏（3.2%）。

- **AI应用在中国CT、MRI及超声扫描的渗透率**（2020-2030E）：
  - 2020年：CT 0.7%，MRI 0.6%，超声 0.3%
  - 2030年预测：CT 41.3%，MRI 40.8%，超声 40.8%

### 背景信息
- **中国AI医疗器械发展**：起步较晚，但发展迅速，预计到2030年市场规模将达到75,568.8百万美元，年复合增长率为39.2%。
- **AI技术进步及医疗资源缺口**：是AI医学影像的主要驱动力，未来AI技术将在医学影像领域加速渗透，贯穿整个临床工作流程。

### 数据来源
- 数据来源于弗若斯特沙利文、头豹研究院等机构。

这些图表和数据反映了AI技术在医疗领域的广泛应用和快速发展，尤其是在医学影像领域的渗透和影响。随着技术的不断进步和医疗需求的增加，AI在医疗领域的应用将更加广泛和深入。
