这是一份关于2024年中国医疗大健康产业发展的白皮书的部分内容。白皮书中提到了医疗保障体系的持续优化，以及“量入为出”方针的贯彻。具体内容如下：

1. **标题**：支付环境：医保体系持续优化，贯彻“量入为出”方针
2. **副标题**：医疗保障部门的角色定位逐渐从事后付费者向战略购买者转变，患者享受改革红利，减轻就医负担
3. **图表**：中国基本医保基金收入、支出与结余情况，2020-2023年1-11月
   - 单位：亿元
   - 图表分为三个部分：
     - 基金总收入（深蓝色柱状图）
     - 基金总支出（浅灰色柱状图）
     - 基金累计结余（深灰色柱状图）
   - 数据：
     - 2020年：基金总收入21,277亿元，基金总支出18,402亿元，基金累计结余29,787亿元
     - 2021年：基金总收入24,682亿元，基金总支出20,813亿元，基金累计结余35,370亿元
     - 2022年：基金总收入26,576亿元，基金总支出21,302亿元，基金累计结余41,431亿元
     - 2023年：基金总收入29,362亿元，基金总支出24,911亿元，基金累计结余47,091亿元
   - 基金累计结余从2020年的29,787亿元增长到2023年的47,091亿元，增长了16.5%
4. **文字内容**：
   - 政府主导中国社会医疗保障体系运行，积极探索保障新路径
   - 与海外国家发展模式不同，中国社会医疗保障体系由政府主导，社会医疗保障体系逐渐由“广覆盖”发展成“全覆盖”。中国社会医疗保障体系分为托底层、主体层和补充层，由城乡医疗救助、基本医疗保险和补充医疗保险等共同构成，共同推动医疗保障事业高质量发展
   - 近年来，围绕药品及器械的定价、采购、支付等关键环节进行了一系列大刀阔斧、精准科学的综合改革，组织国家药品集中带量采购，医保药品目录调整，统筹推进支付方式改革，持续优化医疗保障，促进“健康中国”战略的实施
   - 2003年以来，中国基本医保基金收入均大于支出，当年收支和累计结余均保持稳定增长，截至2023年11月底，基本医保基金结余大于47,000亿元，中国基本医保基金持续贯彻“量入为出”的大方针，基金运行整体保持稳健，为医疗机构的运营提供了稳定保障，促进中国医疗行业稳步发展
5. **另一个图表**：谈判药品的支付标准平均降幅，2018-2023
   - 单位：%
   - 数据：
     - 2018年：56.7%
     - 2019年：60.7%
     - 2020年：50.6%
     - 2021年：61.7%
     - 2022年：60.1%
     - 2023年：61.7%
   - 5年来，谈判药品的支付标准平均降幅分别为60.7%、50.6%、61.7%、60.1%和61.7%。初步估算，2023年协议期内谈判药品及群众购药超2.1亿人次，叠加降价和医保报销，为患者减负超2,000亿元，使患者能以更低廉的价格获得质量更优的药品
6. **来源**：国家医保局，弗若斯特沙利文，头豹研究院
7. **底部标识**：头豹、LeadLeo、沙利文、Frost & Sullivan、CIC灼识咨询

这份白皮书详细介绍了中国医疗保障体系的现状、改革措施以及取得的成效，强调了政府的主导作用和医疗保障体系的持续优化。
