这张图片展示了一份关于中国互联网医院发展的报告，标题为“中国互联网医院：数字医疗迈向新阶段 | 资本助推互联网医院发展”。图片中包含了一些关于互联网医疗行业发展的信息，具体内容如下：

1. **背景介绍**：
   - 图片中提到，在IT桔子发布的《2020年中国新经济医疗健康独角兽榜单》中，有26家医疗独角兽企业，其中互联网医疗行业占据半壁江山。互联网医疗行业包括互联网医院、互联网医疗健康、平安医保科技及微医等，这些企业占据了榜单前列。

2. **政策支持**：
   - 图片中提到，随着政策的持续开放，更多生态圈环节的打通和延伸，加上大量资本的注入，必将诞生更多的独角兽企业，甚至行业巨头。

3. **市场趋势**：
   - 图片中提到，非中标药品和自费药品转战零售市场的途径之一是随着国家政策支持线上药品销售，尤其是慢病药物的销售终端逐渐向院外转移，驱动处方药销售终端增多和居民购药场景多元化，为药企带来新的机会。

4. **患者需求**：
   - 图片中提到，部分慢病患者可以选择在基层医疗机构经家庭医生诊断后，延续上级医院的医嘱用药。互联网医疗所提供的信息板块为药企提供了更直接和更精准的患教机会，通过线上业务闭环可在打响品牌知名度的同时进行线上消费转化。

5. **市场规模**：
   - 图片中提到，根据德勤《医药零售变局，药企制胜之道》报告，预计到2028年，中国线上零售渗透率将上升至约30.8%，市场规模约1,770亿人民币。

6. **药企参与模式**：
   - 图片中提到，药企参与模式包括调整业务结构、设立创新互联网医疗服务业务、入驻博鳌先行区、加速创新产品和方案进入先行区平台、与生态圈合作伙伴创建互联网医院、探索互联网医院慢病管理新模式、打造配送到家或就近自提服务，实现配送最后一公里。

7. **主要政策**：
   - 图片中提到，主要政策包括带量采购覆盖全国、医药分家不断深化、医保控费趋于严格。

8. **线上应用场景**：
   - 图片中提到，线上应用场景包括线上直购、线上问诊、线上复诊续方。

图片底部注明了来源为德勤《医药零售变局，药企制胜之道》报告，公开资料整理。
