### 医疗AI领域投资趋势分析

**1. 投资概况**：
- **时间范围**：2013年至2021年10月
- **投资事件数**：1121起
- **总投资金额**：1718.19亿元
- **趋势**：波动上升

**2. 投资案例数变化**：
- **2014年**：开始受资本关注
- **2018年**：达到近年高位
- **2019年**：受资本寒冬影响，回落至149起

**3. 投资金额变化**：
- **2013-2016年**：规模较小
- **2017-2021年**：保持较高增长

**4. 图表分析**：
- **蓝色柱状图**：投资金额
- **黄色折线图**：投资案例数
- **关键年份**：
  - **2014-2018年**：显著增长
  - **2019年**：回落
  - **2020年**：再次上升
  - **2021年10月**：有所下降

**5. 投资阶段与方向**：
- **早期投资为主**：种子/天使轮和Pre-A/A/A+轮占近五成
- **战略投资金额**：850.86亿元，占48.96%
- **热门方向**：医学影像、医疗信息化、新药研发
- **最热门赛道**：AI医学影像，占27.86%

**数据来源**：36氪研究院

---

### 中国医疗AI市场规模分析

**1. 全球市场规模**：
- **2020年**：42亿美元
- **2027年预测**：345亿美元
- **CAGR**：35.1%

**2. 细分市场**：
- **AI医学影像**：
  - **2020年市场规模**：10亿美元
  - **全球占比**：24%
- **中国市场规模**：
  - **2020年**：66.25亿元
  - **2025年预测**：300亿元
  - **CAGR**：39.4%

**3. AI医学影像市场规模**：
- **2020年**：3.4亿元
- **2030年预测**：923.1亿元
- **CAGR**：75.1%

**4. 图表数据**：
- **图表1**：2019-2025年中国医疗AI市场规模及增速
- **图表2**：2019-2030年中国AI医学影像市场规模

**数据来源**：动脉网，中金公司，36氪研究院，厚疆科技招股书，Frost & Sullivan

---

### 医疗AI行业现状

**1. 产业生态分析**

**2. 主要应用场景**：
- **AI医学影像**
- **AI辅助决策**
- **医疗机器人**
- **AI药物研发**

**页面布局**：蓝色背景，标题“医疗AI行业现状”，编号“02”，黑色字体要点，圆点符号

---

以上内容简要概括了医疗AI领域的投资趋势、市场规模及行业现状，涵盖了关键数据和趋势分析。
