### 2024年中国医疗大健康产业发展白皮书

#### 全球医疗健康领域融资金额及事件（2013-2023）
- **融资金额**：2013年604亿美元，2023年574亿美元，2019年达到峰值后下降。
- **融资事件**：2013年68件，2023年3,076件，逐年增加。
- **趋势**：金额下降，事件增加。

#### 中国医疗健康领域融资金额及事件（2013-2023）
- **融资金额**：2013年153亿美元，2023年109亿美元，2018年达到峰值后下降。
- **融资事件**：2013年8件，2023年1,300件，逐年增加。
- **趋势**：金额下降，事件增加。

#### 文字描述
- **全球**：吸金能力收缩，寒冬延续，融资总额下降30.1%。
- **中国**：与全球一致，融资总额下降30.1%，但活跃度仍高。

#### 来源
- 公司官网、弗若斯特沙利文、头豹研究院

#### 中国医疗支付方式改革政策文件表格
- **2022年12月**：DRG/DIP功能模块上线安排。
- **2021年11月**：DRG/DIP三年行动计划。
- **2020年6月**：CHS-DRG分组体系应用。
- **2019年5月**：DRG付费国家试点城市名单。
- **2018年12月**：DRG付费国家试点申报。

#### 投资环境与融资轮次
- **标题**：融资轮次后移，高确定性赛道成熟标的更受追捧。
- **副标题**：生物制药、互联网医疗、数字化医疗和医疗器械成热门。
- **图表**：
  - **交易轮次占比**：种子轮、天使轮下降，A轮、B轮、C轮上升。
  - **赛道融资分布**：生物制药43.9%，医疗器械40.4%，数字健康10.7%，医药商业4.8%。
  - **TOP 10融资项目**：海森生物、药明生物等。

#### 文字描述
- 融资轮次后移，成熟标的受追捧。
- 生物创新药、互联网医疗等成热门领域。

#### 来源
- 公司官网、弗若斯特沙利文、头豹研究院

#### 标志和标识
- CIC、Frost & Sullivan、沙利文、头豹

### 总结
- **全球与中国趋势**：融资金额下降，融资事件增加。
- **政策改革**：DRG/DIP支付方式逐步推进。
- **投资热点**：生物制药和医疗器械主导，融资轮次后移。
