这是一张来自“2024 全球医疗行业展望 | 领航变革”报告的图片。图片中包含了一些文字和图表，主要讨论了信任在医疗行业中的重要性。

1. **文字内容**：
   - 文字部分讨论了信任对医疗机构的重要性，并提到在2023年10月，约7.5万名凯撒医疗机构（Kaiser Permanente）医护人员发起了为期三天的罢工，要求提高薪酬，将所有医护人员的最低时薪设定为25美元，并改革奖金结构。
   - 文字还提到，一项针对美国医疗人员的调查显示，只有45%的一线临床医生相信其所在机构的领导会为患者着想，而相信领导会为员工着想的临床医生比例更少，仅为23%。这表明医生和员工对领导层的信任存在差异。

2. **图表内容**：
   - 图表标题为“图1：在美国，对机构领导层失去信任的临床医生职业倦怠率最高问题：您是否相信您的高层领导会为员工着想？”
   - 图表展示了不同信任程度下的职业倦怠程度，分为“没有倦怠感”、“轻度倦怠感”、“中度倦怠感”、“高度倦怠感”和“强烈倦怠感”五个等级。
   - 具体数据如下：
     - 对机构领导层的信任程度：
       - 没有倦怠感：16%
       - 轻度倦怠感：41%
       - 中度倦怠感：25%
       - 高度倦怠感：11%
       - 强烈倦怠感：7%
     - 有些时候：
       - 没有倦怠感：34%
       - 轻度倦怠感：36%
       - 中度倦怠感：17%
       - 高度倦怠感：11%
       - 强烈倦怠感：2%
     - 很少：
       - 没有倦怠感：24%
       - 轻度倦怠感：39%
       - 中度倦怠感：31%
       - 高度倦怠感：4%
       - 强烈倦怠感：2%
     - 从不：
       - 没有倦怠感：55%
       - 轻度倦怠感：27%
       - 中度倦怠感：14%
       - 高度倦怠感：3%
       - 强烈倦怠感：1%

3. **备注**：
   - 受访人数为4856名（执业临床医生）。
   - 资料来源：德勤2022年美国一线临床医生调查（Deloitte 2022 Survey of US Frontline Clinicians）。

这张图片通过文字和图表展示了信任在医疗行业中的重要性，以及信任程度与职业倦怠之间的关系。
