这张图片展示了一份关于上游盈利和各板块龙头公司财务指标的分析报告，具体内容如下：

1. **标题**：图片的标题为“2.3 上游盈利：研产壁垒支撑高毛利率”，表明报告主要关注上游盈利能力及其影响因素。

2. **图表**：
   - **图1**：2018-2021年各板块龙头公司毛利率。图表中展示了爱美客、时代天使、昊海生科、汤臣倍健、欧普康视和爱博医疗六家公司的毛利率变化趋势。
   - **图2**：2018-2021年各板块龙头公司净利率。同样展示了上述六家公司的净利率变化趋势。
   - **图3**：2018-2021年各板块龙头公司ROE（净资产收益率）。展示了各公司ROE的变化趋势。
   - **图4**：2018-2021年各板块龙头公司研发费用率（%）。展示了各公司研发费用率的变化趋势。

3. **文字描述**：
   - **高科附加价值赋能上游制造强盈利模式**：对比消费医疗上游各医疗器械及耗材生产商，品牌与技术壁垒塑造的高值耗材高毛利率与高净利率的盈利模式突出，耗材与器械生产平均毛利率近80%，净利率超35%。
   - **医美上游高附加值，盈利能力领跑行业**：医美上游医疗器械厂商以强资质壁垒与稀缺性建立产品高附加值与议价权，2B2C商业模式以产品与渠道结合打造品牌溢价。其中爱美客2021年毛利率达93.70%，净利率达66.12%，远超消费医疗上游同业。
   - **集采风险下，专科医疗盈利能力承压明显**：专科医疗刚性需求较强，国家医保局集采制度推进下，高值耗材易受政策影响导致高利润率下滑。以眼科龙头昊海生科为例，近年其人工晶状体受集采降价压力拖累，2018-2021年间公司毛利率由78.5%降至72.1%，净利率由29.2%降至19.7%。

4. **数据来源**：Wind，国盛证券研究所。

总体来看，这份报告详细分析了上游盈利能力及其影响因素，特别是各板块龙头公司的财务指标变化，并指出了集采政策对专科医疗盈利能力的影响。
