这张图片展示了中国口腔医疗服务市场的一些关键数据和趋势。以下是图片中包含的主要信息：

1. **用户规模**：
   - 2020年中国口腔患者基数达到7.03亿人，对应就诊量1.58亿人次，10年复合年增长率（CAGR）为7%。
   - 口腔卫生意识提升，医疗服务需求持续增长。

2. **渗透率**：
   - 2020年中国内地口腔科服务渗透率为24%，低于美国的70%和中国台湾的48.5%。
   - 2020年中国年种植牙数量约为22颗/万人，海外发达国家为100-500颗/万人；中国正畸案例数为310万例，渗透率仅0.3%，低于美国的1.8%；中国洗牙渗透率不足10%，显著低于海外发达国家的75%。

3. **口腔医院客单价**：
   - 口腔医院客单价持续增长，至2020年口腔医院客单价达到727.4元/人，近6年CAGR为8.8%。

4. **图表**：
   - **图1：中国口腔患者数及口腔科门诊人次（亿人）**：显示了2010年至2020年期间口腔患者数和门诊人次的增长趋势。
   - **图2：2014-2020年中国口腔种植牙及正畸人数（万人）**：展示了2014年至2020年期间种植牙和正畸人数的增长情况。
   - **图3：中国口腔医院客单价（元）**：显示了2010年至2020年期间口腔医院客单价的增长趋势，并标出了CAGR为8.8%。
   - **图4：美国、中国台湾、中国内地口腔医疗服务渗透率**：比较了2019年和2020年美国、中国台湾和中国内地口腔医疗服务的渗透率。

5. **数据来源**：
   - 数据来源于2020年中国口腔医疗行业报告、中国卫生健康统计年鉴、华经产业研究院、国盛证券研究所。

这张图片通过数据和图表详细展示了中国口腔医疗服务市场的现状、趋势以及与发达国家的对比，为行业分析和决策提供了重要的参考信息。
