### 当前页内容概述

**标题**：34 行业空间：由可选走向必选的千亿市场

**核心内容**：
- **健康意识提升**：推动保健行业从可选市场向必选市场转变。
- **市场规模**：2020年中国保健品市场规模2503亿元，体检市场规模1767亿元。
- **中美对比**：中国各年龄段保健品消费和体检人次渗透率低于美国。

**主要图表**：
1. **中国保健行业市场规模及预测（2016-2023E）**：柱状图（市场规模），折线图（同比增长率）。
2. **中美两国各年龄段保健品渗透率**：柱状图（中美对比）。
3. **中国保健行业主要产品占比（2017-2019）**：柱状图（产品占比）。
4. **我国健康体检市场规模**：柱状图（市场规模），折线图（同比增长率）。
5. **我国年度健康体检人次**：柱状图（体检人次），折线图（同比增长率）。
6. **我国健康体检客单价**：柱状图（客单价），折线图（同比增长率）。

**数据来源**：IQVIA、智研咨询、华经产业研究院等。

### 前一页内容概述

**标题**：3.4 健康管理：健康消费多元发展，产品服务持续升级

**核心内容**：
- **健康消费多元化**：涵盖保健品、体检、孕产服务、心理咨询等。
- **产品服务升级**：健康消费从可选走向必选，如体检、孕产服务。

**主要图表**：
- **保健品类及主要产品**：美容类、纤体类、增强免疫类。
- **健康体检**：功能类、个性类。
- **孕产服务**：孕前产检、产后修复。
- **心理健康**：调节类、治疗类。

**主要表格**：
- **主要保健产品参考价**：即食燕窝、桃胶、入职体检、定制化体检等。

**数据来源**：爱康国宾APP、国盛证券研究所。

### 后一页内容概述

**标题**：34 产品型 健管：保健品格局高度分散，产品+营销成就品牌

**核心内容**：
- **市场集中度**：2020年CR3 14%，CR5 20%，CR10 30%。
- **细分市场领先者**：汤臣倍健（6.4%市场份额），西王食品（运动营养类30%），康宝莱（体重管理类47%）。
- **上游同质化**：原料供应分散，创新空间小，产业链利润集中于下游品牌商。
- **营销趋势**：电商渠道占比40%。

**主要数据**：
- **市场竞争格局**：汤臣倍健、无极限、安利等。
- **运动营养类市占率**：西王食品、康比特、汤臣倍健等。
- **体重管理类市占率**：康宝莱、雅培、欧瑞莲等。
- **消费者选择因素**：功能、产品资质、品牌等。
- **销售渠道变化**：2015年直销50%，2020年电商40%。

**主要产品布局渠道**：
- **汤臣倍健**：商超、电商平台、线下门店。
- **BY-HEALTH**：电商平台。
- **健力多、健乐多、健视佳、天然博士**：电商平台、线下门店。

**数据来源**：艾媒咨询、各公司官网及年报、国盛证券研究所。
