这是一张关于小企业经济影响和生产力在不同地区差异的文档截图。标题为“3. Small business economic impact and productivity varies by region”，内容讨论了小企业在不同州的经济贡献和生产力差异。具体内容如下：

1. **小企业的普遍性和经济贡献**：
   - 小企业（MSMEs）遍布所有州，但它们的经济贡献不均衡。
   - 在内华达州和南卡罗来纳州，小企业雇佣了大约一半的工人，占商业经济收入的35%左右。
   - 在蒙大拿州和佛蒙特州，大约四分之三的就业在小企业中，占这些州收入的55%左右。

2. **小企业在COVID-19大流行期间的表现**：
   - 在大流行期间，美国每年注册的新企业数量显著增加。从2019年到2021年，新企业注册数量增加了54%。
   - 尽管新企业注册数量增加，但现有企业的数量似乎保持平衡，微型、小型和中型企业（MSMEs）的数量在2019年至2021年间仅增加了6%。
   - 在大流行前（2017-2019年），MSMEs的数量增长了4%，就业增长了3%。
   - 尽管新企业注册数量增加，但MSMEs的就业人数在2021年下降了1%。

3. **大流行期间小企业的变化**：
   - 尽管新企业注册数量增加，但就业人数下降，这表明一些小企业可能正在转变为更大型、更高效的公司。

文档的底部有“America's small businesses: Time to think big”的标题，以及页码16。
