### 当前页内容
**标题**：需求环境：医疗产业边界拓展，消费医疗引领健康新纪元

**图表部分**：
- **内容**：不同医疗服务领域受消费者价格敏感程度的比较。
- **横轴**：服务周期跨度长短
- **纵轴**：价格敏感程度
- **市场规模**：圆圈大小代表市场规模
- **领域**：医疗美容、口腔医疗、健康体检、康复医疗、养老服务、互联网医院、辅助生殖、中医服务、慢病管理、检测服务、眼科服务等

**文字部分**：
- **趋势**：医疗服务产业向更高附加值、更广年龄跨度发展，消费医疗与健康管理服务受众化清晰。
- **高附加值服务**：医疗美容、慢病管理、健康管理、辅助生殖等。
- **低年龄群体渗透**：植发、医疗美容、眼科、体检等领域向20-35岁用户渗透，口腔医疗消费主力军占比超70%。
- **健康管理转变**：医疗服务向更广年龄层发展，通过长期健康管理实现疾病早期筛查与防治。

**数据部分**：
- **内容**：各年龄层医美消费频次（2022年）和口腔医疗消费各年龄段占比变化（2018-2022年）。

**来源**：弗若斯特沙利文、头豹研究院

**标识**：沙利文、头豹标志

### 前一页内容
**标题**：需求环境：医疗资源紧缺程度放缓，配置优化任重道远

**正文**：
- **描述**：居民就医需求增加，医疗资源紧张程度缓解，但倒挂、挤兑现象未缓解。推进医改、完善分级诊疗、优化资源配置任务艰巨。

**数据**：
- **2022年诊疗人次**：84.2亿人次
- **医师日均负担**：医院6.2人次，乡镇卫生院9.1人次
- **医疗卫生机构数**：1,032,918家
- **每千人口医师/护士数**：3.2人/3.7人
- **病床使用率**：全国71.0%，公立医院75.6%

**图表**：
- **中国医疗资源情况**：2018、2020、2022年数据
- **不同等级医院数量与就诊人数**：2021-2022年数据

**来源**：国家统计局、国家卫健委、弗若斯特沙利文、头豹研究院

### 后一页内容
**主题**：政策环境：鼓励聚焦临床需求，严格药物临床及上市标准

**柱状图**：
- **内容**：中国创新药IND和NDA受理数量（2019-2023年）
- **类型**：创新中药、创新生物制品、创新化学药等

**文字描述**：
- **政策鼓励**：关注临床未满足需求，收紧fast follow药物审批及单臂临床试验申请。
- **增长数据**：IND从2019年688件增至2023年2298件，NDA从2019年30件增至2023年133件。

**饼状图**：
- **内容**：2021-2023年中国优先审评通过的品种占比（同步申报、临床价值新药等）

**来源**：国家药监局、弗若斯特沙利文、头豹研究院
