### 1. 标题和副标题
- **标题**：2.2.1 医疗AI主要应用场景——AI医学影像
- **副标题**：已获批三类证的AI医学影像产品以早期筛查为主，能对疾病进行定性诊断的获证产品较少

### 2. 文字内容
- **获批产品应用领域**：截至2021年11月底，已获批NMPA三类证的AI医学影像产品主要应用于颅内肿瘤、糖网、心血管疾病、肺结节、肺炎、骨折等领域。肺部产品数量最多（9款），颅内肿瘤和骨龄评估类软件最少（均为1款）。
- **应用模式**：基于CT模式的AI医学影像获证产品数量最多（61.9%），仅有1款基于MR模式的产品获证。

### 3. 图表
- **饼图1（按应用病种）**：
  - 颅内肿瘤：9.5%
  - 糖网：4.8%
  - 心血管疾病：14.3%
  - 肺结节：23.8%
  - 肺炎：19.0%
  - 骨折：9.5%
  - 骨龄评估：4.8%
  - 其他：14.3%
- **饼图2（按应用模式）**：
  - CT：61.9%
  - MR：9.5%
  - X射线：4.8%
  - 心电图：9.5%
  - 眼底图像：14.3%
- **饼图3（按应用场景）**：
  - 辅助检测：23.8%
  - 辅助诊断及评估：57.1%
  - 辅助诊断：19.0%

### 4. 数据来源
- **数据来源**：国家药监局，动脉网，36氪研究院
- **统计时间**：截至2021年11月18日

### 5. 图片右下角
- **标志**：36氪研究院
- **字样**：36KR RESEARCH

### 前一页内容
- **标题**：2.2.1 医疗AI主要应用场景——AI医学影像
- **内容概述**：AI医学影像适用模式、覆盖病种和应用场景不断丰富。
- **表格内容**：
  - **头部**：
    - 脑：CT、MR，脑卒中、颅内肿瘤等，辅助筛查、评估、诊断，难易程度：困难
    - 眼：眼底图像，糖尿病视网膜病变，辅助诊断，难易程度：中等
  - **胸部**：
    - 心脏：MR、超声，心肌病等，辅助诊断，难易程度：困难
    - 心血管：CT，冠心病等，辅助评估、诊断，难易程度：困难
    - 肺：CT、DR，肺结节等，辅助筛查、诊断，难易程度：中等
    - 乳腺：MR、超声、钼靶，乳腺癌等，辅助筛查、诊断，难易程度：困难
  - **腹部**：
    - 胃：内窥镜，胃癌，辅助筛查，难易程度：困难
    - 肝脏：CT、MR，肝癌等，辅助诊断，难易程度：困难
    - 胰腺：CT、MR，胰腺炎等，辅助诊断，难易程度：困难
  - **骨骼**：
    - 颅骨：CT、MR、DR，骨折等，辅助筛查、评估，难易程度：中等
- **资料来源**：36氪研究院根据公开资料整理

### 后一页内容
- **标题**：2.2.1 医疗AI主要应用场景——AI医学影像
- **主要内容**：
  - 国内头部AI医学影像产品主要覆盖脑部和眼底，脑部场景仅1项产品获批NMPA三类证。
  - **应用价值**：
    - 脑部影像学检查（CT、MR），AI技术缩短阅片时间，提高诊疗精确性。
    - 脑部CT影像辅助诊断：快速识别出血性脑卒中病灶，精确检出狭窄血管和动脉瘤。
    - 脑部MR影像辅助诊断：辅助肿瘤分类，自动识别缺血性脑血管病病灶。
    - 颅内肿瘤：AI技术实现快速筛查和优化治疗方案。
    - 脑卒中：AI技术争取更多“时间窗”，提高救治率。
- **企业及产品**：
  - 安德医智：颅内肿瘤磁共振影像辅助诊断软件，2020年6月获批。
- **资料来源**：《中国AI医学影像白皮书》，36氪研究院
- **图片设计**：简洁明了，蓝色和白色为主色调，文字清晰易读。
