### 图表描述

这张图片全面展示了通策医疗的财务和业务发展情况。标题“45 通策医疗：内外并行吸引人才，总分院模式强化扩张”揭示了公司通过内外结合的人才策略和总分院模式推动扩张。文字说明详细阐述了区域总院+分院模式的竞争力、内部高效管理及人才吸引策略，以及省内蒲公英计划和省外“存济”品牌的扩张策略。图表部分包括：

- **图1**：展示了2017年至2022年上半年的营收、归母净利润及其增速。
- **图2**：展示了同期内的毛利率和净利率水平。
- **图3**：展示了2016年至2021年各主营业务的收入构成。
- **图4**：展示了同期的各项费用率水平。

数据来源于Wind和国盛证券研究所。

### 图表类型

- **图1**：组合图（折线图+柱状图）
  - 营收和归母净利润用柱状图表示，营收增速和利润增速用折线图表示。
  
- **图2**：折线图
  - 毛利率和净利率分别用不同颜色的折线表示。
  
- **图3**：堆叠柱状图
  - 各主营业务（种植、正畸、儿科、综合）的收入构成用堆叠柱状图表示。
  
- **图4**：多折线图
  - 销售、管理、研发和财务费用率分别用不同颜色的折线表示。
