### 中国医疗AI市场分析

#### 1. 市场规模与增长趋势
- **全球市场**：
  - 2020年规模：42亿美元
  - 2027年预测：345亿美元
  - CAGR（2020-2027）：35.1%
- **中国市场**：
  - 2020年规模：66.25亿元
  - 2025年预测：300亿元
  - CAGR（2020-2025）：39.4%
- **AI医学影像**：
  - 2020年全球占比：24%
  - 2020年中国规模：3.4亿元
  - 2030年预测：923.1亿元
  - CAGR（2020-2030）：75.1%

#### 2. 主要应用领域市场规模
- **2019-2025年预测**：
  - 2019年：46.04亿元
  - 2020年：66.25亿元
  - 2021年：90.10亿元
  - 2022年：122.04亿元
  - 2023年：176.59亿元
  - 2024年：250.81亿元
  - 2025年：348.73亿元
- **同比增速**：
  - 2019年：53.1%
  - 2025年：39.0%

#### 3. 医疗资源分布与AI助力
- **2020年数据**：
  - 医院数量：3.54万个
  - 基层医疗卫生机构：97.01万个
  - 诊疗人次：33.2亿人次
  - 执业（助理）医师：188.3万人
  - 注册护士：182.3万人
  - 其他卫生技术人员：470.9万人

#### 4. 投资热度分析
- **总体趋势**：
  - 2013-2021年10月：1121起投资事件，总金额1718.19亿元
  - 波动上升态势
- **年度变化**：
  - 2014年起受资本关注
  - 2018年达高位
  - 2019年回落
  - 2017-2021年高增长
- **细分领域**：
  - 热门方向：医学影像、医疗信息化、新药研发
  - 2021年1-10月：AI医学影像最热，39起投资事件（27.86%）

### 数据来源
- Global Market Insight
- Frost & Sullivan
- 36氪研究院

### 总结
中国医疗AI市场高速增长，AI医学影像成为热点。投资热度波动上升，细分领域受资本青睐，助力缓解医疗资源不均问题。
