这是一份来自华源证券的关于可孚医疗的研究报告。报告标题为“可孚医疗：家用医疗器械后起之秀，平台化布局成型”。报告分为几个部分，包括公司业务布局、产品门类、主要用途、具体产品和产品图示。

1. **公司业务布局**：
   - 可孚医疗是一家家用医疗器械平台企业，为患者提供全方位健康管理平台。
   - 涵盖健康监测、康复辅具、呼吸支持、医疗护理及中医理疗五大领域，拥有近万种型号及规格的产品，为消费者提供一站式解决方案。

2. **产品门类**：
   - **健康监测产品**：用于监测人体生理参数的医疗器械，如血糖系统、尿检系统、血压计、血氧仪、红外线体温计、耳温计、听诊器、电子体重秤等。
   - **康复辅具**：用于改善、替代人体功能，实施辅助性治疗或预防残疾的产品，如轮椅、代步车、护理床、移位机、听力计、助听器、助行器、股拐、手杖等。
   - **医疗护理**：用于检查、诊断、治疗、护理的各类一次性使用医疗、护理用品，如敷贴敷料类、造口袋、口罩、手套、医用防护服、纱布/绷带类、棉球/棉签、棉片类、消毒产品、口腔护理等。
   - **呼吸支持**：提供呼吸健康慢病管理服务产品，如呼吸机、制氧机、氧立得手提便携式制氧器、氧气袋、雾化器、鼻腔护理等。
   - **中医理疗**：以中医理论为基础，利用自然界物理因素或现代理疗设施，进行疾病预防和治疗的产品，如理疗仪、按摩器、艾叶及制成品、盆盐产品、拔罐器、刮痧板等。

3. **公司股权结构**：
   - 公司股权较为集中，核心高管具备丰富医疗器械赛道从业经历。
   - 董事长、总裁张敏及聂娟为公司实际控制人，与副董事长、常务副总裁张志明直接及间接合计持有公司57.38%股份，股权较为集中。
   - 张敏及张志明先生均深耕家用医疗器械领域多年，具备丰富的从业经历。
   - 截止2024H1，可孚医疗在国内设有89家子公司，791家分公司，已经形成较为完善的家用医疗器械研发、生产、营销及服务网络。

报告最后注明，请务必仔细阅读正文之后的免责声明。
