### 德勤全球2024年Z世代与千禧一代调研报告

#### 当前页内容
- **标题**：德勤全球2024年Z世代与千禧一代调研报告（页码1至6）
- **文字描述**：
  - 主要压力因素：财务前景、家庭健康和福利、日常财务状况
  - 工作/生活平衡问题：工作得不到认可、工作时间长、没有足够时间完成工作
- **柱状图**：
  - Z世代和千禧一代在以下方面的压力百分比：
    1. 未得到足够的工作认可/奖励
    2. 工作时间长
    3. 没有足够的时间完成工作
    4. 不觉得工作中的决定公平公正
    5. 没有获得工作的意义和/或目标感
    6. 没有得到领导的支持
    7. 可能影响我的变化
    8. 无法控制工作地点或方式
    9. 感觉不被同事包容
  - 两代人在大多数方面压力水平相似，但存在部分差异
- **照片**：男士在办公桌前使用笔记本电脑，环境明亮

#### 前一页内容
- **标题**：压力和心理健康状况略有改善，但工作职位及工作与生活平衡仍造成压力
- **文字描述**：
  - 40%的Z世代和35%的千禧一代表示在所有或大部分时间感到压力
  - 18%的Z世代和17%的千禧一代报告精神健康状况恶化
- **图表**：
  - 饼状图：Z世代和千禧一代过去12个月心理健康状况评价
  - 条形图：Z世代和千禧一代过去一年感到压力或焦虑的百分比
- **图标**：人的侧面轮廓，代表心理健康或压力
- **背景**：会议或研讨会场景

#### 后一页内容
- **来源**：UKG, Mental Health at Work: Managers and Money（2023年7月4日）
- **红框内容**：
  - 55%的千禧一代和54%的Z世代认为雇主重视员工心理健康
  - 一半受访者注意到工作场所心理健康方面的积极变化
  - 公开谈论心理健康仍有改进空间
  - 26%的Z世代和32%的千禧一代认为高层领导未优先考虑心理健康
- **按钮**：进一步阅读Z世代和千禧一代心理健康前景文章

---

以上内容简要概括了德勤全球2024年Z世代与千禧一代调研报告的相关信息和前后页的细节。
