这张图片展示了一份关于中国互联网医院的研究报告，具体内容如下：

1. **标题**：图片顶部有标题，内容为“中国互联网医院：数字医疗迈向新阶段 | 互联网医院服务生态及运营模式”。

2. **互联网医院运营模式**：
   - 主要分为两类模式：
     - “医院+互联网”：作为实体医疗机构第二名称的互联网医院。
     - “互联网+医院”：依托实体医疗机构独立设置的互联网医院。

3. **数据来源**：根据动脉网蛋壳研究院推出的《2020年互联网医院报告》，报告指出，随着互联网销售处方药放开及互联网医院政策落地，自2019年互联网医院加速建设，并且受到医疗资源、政策支持与审批流程影响，海南和宁夏省以外，皆以“医院+互联网”类型为主。

4. **图表**：图片中有一个柱状图，标题为“图3：互联网医院新增数量”。图表展示了2016年至2020年上半年不同类型的互联网医院新增数量：
   - 2016年：17家（医院+互联网），18家（互联网+医院）
   - 2017年：44家（医院+互联网），18家（互联网+医院）
   - 2018年：5家（医院+互联网），21家（互联网+医院）
   - 2019年：173家（医院+互联网），50家（互联网+医院）
   - 2020年上半年：166家（医院+互联网），49家（互联网+医院）

5. **注释**：截至2020年10月，全国已有近900家互联网医院。

6. **比较**：图片中还有一个表格，比较了“医院+互联网”和“互联网+医院”两种类型的互联网医院在运营模式、盈利模式、医务人员、患者人群和价格等方面的不同。

7. **图标**：图片右侧有一些图标，包括一个带有十字的文件夹、一个带有十字的病历本和一个带有十字的急救包。

这张图片详细地展示了互联网医院的发展现状、不同类型的比较以及未来的发展趋势。
