这张图片展示了关于智慧医疗的概念及其发展历程。图片的标题是“智慧医疗的概念及发展历程”，副标题为“由院内走向院外、由模块化走向大融合”。图片由艾瑞咨询公司制作，右上角有艾瑞咨询的标志。

图片的主要内容如下：

1. **智慧医疗的概念**：
   - 2009年初，IBM提出“智慧地球”概念，将新一代的IT技术充分运用到各行各业之中，连接起来并形成物联网，通过超级计算机和云计算等将物联网整合起来，实现人类社会和物理系统的整合。在此基础上，人类可以更加精细和动态的生产方式管理生产和活动，从而达到智慧状态。自此，智慧医疗作为人类生存的重要依托板块应运而生。
   - 智慧医疗有狭义与广义之分，狭义的“智慧医疗”指的是医院内通过智能化系统、设备及手段实现患者、医务人员、医疗设备之间的数据传递、分析、诊断、反馈、互动，仅针对医院单一化场景。广义的“智慧医疗”是指在诊断、治疗、康复、支付、卫生管理等各个环节，基于物联网、云计算等高科技技术，建设医疗信息完整、跨服务部门、以病人为中心的医疗信息管理和服务体系，实现医疗信息互通互联、共享协作、临床创新、诊断科学等功能。

2. **智慧医疗的发展历程**：
   - **智慧医疗1.0（2009-2015）**：聚焦院内，夯实底座。此阶段尚有成熟的产品出现，智慧医疗主要集中在医疗信息化。国家政策鼓励开展创新技术应用试点与区域卫生信息平台建设，希望推动医疗信息化在医疗领域达到规模化应用。
   - **智慧医疗2.0（2016-2019）**：业务外延，上下协同。此阶段出现了较为成熟的智慧医疗产品，智慧医疗主要集中在医疗互联网化。国家政策鼓励各医疗机构引进多种创新技术，促进互联网+医疗的发展，探索建立新的医疗体系。
   - **智慧医疗3.0（2020-）**：深度融合，打造生态。此阶段出现成熟的智慧医疗产品，不断涌现，智慧医疗主要集中在医疗智能化。国家对于深度学习辅助决策给出指导，重点强调人工智能、物联网等创新技术应用深入，打造智慧医疗生态。

3. **智慧医疗发展历程中的关键时间节点**：
   - 2009年：《基于健康档案的区域卫生信息平台建设指南》
   - 2010年：《电子病历基本规范》
   - 2015年：《全国医疗卫生服务体系规划纲要2015年-2020年》
   - 2016年：《“健康中国2030”规划纲要》
   - 2017年：《十三五全国人口健康信息发展规划》
   - 2018年：《关于进一步推进以电子病历为核心的医疗机构信息化建设工作的通知》、《关于促进“互联网+医疗健康”发展的意见》
   - 2020年：《关于进一步完善预约诊疗制度加强智慧医院建设的通知》、《关于积极推进“互联网+”医疗服务医保支付工作的指导意见》
   - 2021年：《“十四五”全民医疗保障规划》、《“十四五”优质高效医疗卫生服务体系建设实施方案》

图片底部注明了来源为艾瑞咨询研究院自主研究及绘制，并附有艾瑞咨询的网址www.iresearch.com.cn。
