### 标题
AI+器械：获批数量高速增长，辅助诊断与辅助治疗并行

### 文字描述
- **监管政策与技术沉淀**：随着监管政策的完善及AI医疗技术的积极沉淀，中国AI医疗获批数量保持高速增长。
- **应用场景转变**：主要应用场景由“辅助诊断”向“辅助诊断与辅助治疗并行”转变。
- **发展历程**：自2018年以来，中国三类医疗器械注册证年通过量高速增长。截至2023年10月，已有119款AI医疗器械获得市场准入，2023年前十个月NMPA批准数量达44件，创历史新高。

### 图表信息
- **柱状图**：展示2018年至2023年10月中国AI医疗器械三类证产品获批数量及适应症分布，2023年10月达44个，比2022年增长85.6%。
- **饼状图**：展示不同类别AI医疗器械获批数量占比，包括FFR、肺结节、放疗计划等。
- **表格**：部分AI医疗三类证获批产品及用途，如结肠息肉电子内窥镜图像辅助检测软件、肺结节CT图像辅助检测软件等，列有公司名称和用途。

### 市场规模
- **全球与中国市场规模**：全球AI医疗器械市场规模逐年增长，中国市场规模由2019年的124.7百万美元增至2022年的1155.6百万美元，年复合增速110.1%。
- **未来展望**：随着人工智能技术发展和底层算法更新，AI医疗器械领域有望进一步扩容，应用更广泛。

### 标志
- **机构标志**：弗若斯特沙利文、头豹研究院、沙利文、头豹等。

### 报告封面
- **标题**：Chapter 4.2 AI医疗：行业发展趋势
- **设计**：左侧白色背景，右侧蓝色和橙色DNA双螺旋结构图，象征科技与医学结合。
- **标志**：CF、Frost & Sullivan、LeadLeo等。

### 报告页码
- **当前页**：第53页

### 主要讨论点
- **监管完善助力创新**
- **技术驱动市场扩容**
