这张图片展示了一张由国盛证券制作的关于“上游竞争：延展性与强盈利塑造医美上游高成长性”的图表。图片分为左右两部分，左边是文字内容，右边是四张对比图。左边的文字内容主要讨论了医美医疗器械研发的严格审批流程、优质医美产品的稀缺性、以及专科医疗器械耗材的技术研发和市场需求。文字提到，医美医疗器械的研发需要严格按照NMPA审批流程，优质医美产品以III类证稀缺性塑造强议价权与高盈利能力。产品扩张角度，医美器械在材料升级与适应症延展等方面迭代空间广阔，高利润率与产品管线储备赋能强成长性。专科医疗器械耗材以技术为核心，研发并重，强调研发投入领跑行业，产品力要求生产与制造环节相对较高，II类与III类医疗器械研发与临床周期较长。保健品的消费属性与开发能力也被提及，强调产品延展性跟随应用场景丰富，多种材料可围绕运动营养、医疗健康、美容护理、减重塑形等需求开发多元产品组合，保健品的开发周期相对较短，产品开发的短期赋能终端迭代能力在2C模式下销售能力与品牌塑造尤为重要。

右边的四张对比图分别展示了销售能力与产品能力、人力成本与生产成本、产品开发周期与存货周转、盈利能力与产品扩张力之间的对比。每张图都通过不同颜色的圆点来表示不同类别（如医美器械、眼科耗材、齿科耗材、保健品）在这些方面的表现。前一页这是一张关于2021年各板块龙头公司成本拆分的对比图，包括昊海生科、欧普康视、爱博医疗、时代天使、爱美客、汤臣倍健，属于上游竞争：专科医疗研发为重，医疗美容盈利突出。图片右边是关于眼科、医美、口腔的制造费用、人力成本、材料成本、管理费用、研发费用、销售费用的占比情况。图片左边是公司费用拆分，包括制造费用、人力成本、材料成本、管理费用、销售费用、研发费用及其占比，具体来看：
- **昊海生科**：制造费用为7.5%，人力成本为3.4%，材料成本为10.3%，管理费用为16.0%，销售费用为34.7%，研发费用为9.5%。
- **欧普康视**：制造费用为0.6%，人力成本为1.2%，材料成本为3.5%，管理费用为8.0%，销售费用为18.8%，研发费用为2.1%。
- **爱博医疗**：制造费用为7.2%，人力成本为4.0%，材料成本为4.4%，管理费用为12.1%，销售费用为20.8%，研发费用为12.0%。
- **时代天使**：制造费用为1.0%，人力成本为8.0%，材料成本为14.9%，管理费用为14.4%，销售费用为18.9%，研发费用为9.7%。
- **爱美客**：制造费用为1.9%，人力成本为1.7%，材料成本为2.5%，管理费用为4.5%，销售费用为10.8%，研发费用为7.1%。
- **汤臣倍健**：制造费用为4.0%，人力成本为1.3%，材料成本为25.7%，管理费用为5.2%，销售费用为33.4%，研发费用为2.0%。

这些数据反映了各公司在不同方面的投入和成本分布情况，为分析公司经营策略和竞争力提供了重要信息。和后一页这是一张由国盛证券制作的关于民营医疗美容行业竞争格局的图表。图表标题为“24 下游竞争：准入门槛降低释放民营医疗美容经营活力”。图表详细描述了民营医疗美容行业的竞争格局，包括品牌、设备、资金、人才等方面的准入门槛及其对行业竞争格局的影响。

1. **品牌**：民营机构在医美、毛发与齿科领域占据主导地位，其中毛发、医美、齿科的市场份额分别为85%、82%、83%。品牌准入门槛较低，但连锁化与区域化趋势明显。

2. **设备**：民营机构在设备方面投入较少，每平米初始资金投入分别为0.5万元（中医诊疗）、0.8-1万元（体检中心）、0.6万元（毛发）、1万元（医美）、1-1.3万元（齿科）、1.7万元（眼科）、3.3万元（辅助生殖）。设备要求从低到高，毛发、医美、齿科设备要求较低，眼科、辅助生殖设备要求较高。

3. **人才**：民营机构对人才的要求从低到高，中医诊疗、体检中心、毛发、医美、齿科、眼科
