### 全球AI医疗器械市场规模（2016-2030年）
- **时间范围**：2016-2030年
- **单位**：百万美元（左轴）；百分比（右轴）
- **关键数据点**：
  - 2016年：86.5百万美元，同比增长57.5%
  - 2024年：9,281.1百万美元，同比增长90.7%
  - 2030年：113,677.4百万美元，同比增长33.0%

### 中国AI医疗器械市场规模（2019-2030年）
- **时间范围**：2019-2030年
- **单位**：百万美元（左轴）；百分比（右轴）
- **关键数据点**：
  - 2019年：124.7百万美元，同比增长134.0%
  - 2024年：9,281.1百万美元，同比增长51.1%
  - 2030年：75,568.8百万美元，年复合增长率39.2%

### 中国AI医疗器械三类证产品获批数量及适应症分布（2018-2023年10月）
- **柱状图**：
  - 2018年：2个
  - 2023年10月：44个，同比增长85.6%
- **饼状图**（2023年10月适应症分布）：
  - FFR：17.7%
  - 肺结节：15.2%
  - 放疗计划：12.7%

### AI技术在医学影像领域应用（2020-2030年）
- **标题**：AI+器械：AI技术在医学影像领域加速渗透
- **图表1**（2020-2024.5年获批数量及适应症分布）：
  - 2020年：7个
  - 2024年5月：8个
  - 适应症分布：肺部22.6%、头颅14.5%
- **图表2**（AI应用在CT、MRI及超声扫描的渗透率）：
  - 2020年：CT 0.7%、MRI 0.6%、超声0.3%
  - 2030年预计：CT 41.3%、MRI 40.8%、超声40.8%

### 来源
- 弗若斯特沙利文、头豹研究院
- 标志：沙利文、头豹等

### 文字描述
- 中国AI医疗器械领域起步晚但发展迅速，预计2030年市场规模达75,568.8百万美元，年复合增长率39.2%。
- AI技术将更广泛应用于医疗健康领域，提升医疗分析能力。
