这是一张关于2024年中国医疗大健康产业发展的白皮书的部分内容照片。图片中主要描述了中药新药研发的发展趋势，包括流程模式化发展和多种适应症的广泛覆盖。具体内容如下：

1. **标题**：发展态势：新药研发流程模式化发展，多种适应症广泛覆盖。
2. **主要内容**：
   - 中药新药适应症呈现多领域共同发展趋势，呼吸系统、消化系统和神经系统疾病治疗药物近年来受到广泛关注。
   - 中药在多个治疗领域的潜力逐步受到认可，未来中医药的多样化和精准化发展可期。
   - 中药企业迎利好，强化人用经验加速新药研发。
   - 2023年2月《中药注册管理专门规定》出台后，中药新药研发流程逐步规范化，相关法规和文件不断完善，凸显中药发展特色。
   - 研发路径清晰化，强调处方和人用经验的重要性，提高研发成功率。
   - 从立项、临床前研究、临床试验到上市申请，每个阶段均要求企业具备相应的技术平台和资质，确保药品的安全性和有效性。
   - 呼吸系统等适应症领域的中药新药研发崛起，多元化与精准化成趋势。
   - 未来中药新药所覆盖的多个适应症领域将受到持续关注，其中消化系统疾病、呼吸系统疾病和过敏反应等适应症类型成为长期发展热门。
   - 2021年至2023年间，呼吸系统疾病及过敏反应应用中药的IND申请获批数量占比由17.6%增至30.2%，一跃成为中药新药开展临床试验面的主要治疗领域。
   - 另外中国居民近年对消化健康的关注度提升，加之中药“养治结合”的优势作用，驱动消化疾病中药获批上市数量陡增。
   - 中药在多个治疗领域内的潜力逐渐得到发掘和认可，中医药领域的研发创新推进有望走向多元化和精准化的新阶段。

3. **图表**：
   - 图片中包含一个流程图，展示了中药新药研发的流程，包括立项、临床前研究（约2年）、临床试验（约3-4年）、申报上市等阶段。
   - 图片下方有一个饼状图，展示了2021年至2023年期间，获批IND和NDA的中药新药适应症领域占比，包括消化系统疾病、呼吸系统疾病及过敏反应、其他疾病类型等。

4. **来源**：图片底部注明了来源为“国家药监局，弗若斯特沙利文，头豹研究院”。

这张图片详细描述了中药新药研发的发展趋势，以及中药在多个治疗领域的潜力和发展前景。
