这张图片展示了G20国家在可持续和包容性增长方面的进展。图表分为三个主要部分：通过生产率实现增长、通过赋权实现包容、通过净零排放实现可持续性。每个部分又细分为几个指标，包括人均GDP、生产力变化、赋权变化、不平等减少、总赋权、住房成本、温室气体排放、清洁电力容量等。

1. **通过生产率实现增长**：
   - 显示了各国人均GDP（以2015年美元计算）和2019-2022年人均GDP的复合年增长率（CAGR）。
   - 例如，印度的CAGR为2.4%，而美国的为1.1%。

2. **通过赋权实现包容**：
   - 包括赋权变化（2019-2022年）、低于贫困线的人口比例（2022年）、赋权人口比例（2022年）、总赋权（2022年）、住房成本（2022年）等指标。
   - 例如，印度的赋权变化为0.7%，而美国的为1.5%。

3. **通过净零排放实现可持续性**：
   - 包括温室气体排放（2022年）、清洁电力容量（2022年）等指标。
   - 例如，印度的温室气体排放为2.8吨CO₂e/人，而美国的为16.7吨CO₂e/人。

图表还显示了G20中等收入国家和高收入国家的平均水平，以及全球平均水平。图表底部提供了数据来源和解释说明。
