### 标题：器械出海：海外注册量持续增长，面临注册法规挑战

#### 副标题：中国医疗器械海外注册量持续增长，面临注册法规挑战；出口市场以欧美为主，品类日趋丰富

---

#### 文字内容：
- **海外注册增长**：中国医疗器械生产商的海外注册数量持续攀升，欧美市场为主要出口区域，品类更加多样。
- **注册数量占比**：
  - 美国：27.84%
  - 澳大利亚：23.97%
  - 巴西：26.00%
  - 欧盟：21.89%
  - 加拿大：6.65%
  - 新加坡：0.38%
- **出口市场分布**：
  - 欧洲：26.06%
  - 北美：27.92%
  - 亚洲（含东南亚）：34.45%
- **出口品类占比**：
  - 医用耗材：44.91%
  - 医疗设备：41.38%

#### 图表：
1. **中国医疗器械海外注册各国数量占比，2022**：
   - 柱状图显示各国注册数量占比，美国最高，其次是巴西和澳大利亚。

2. **中国医疗器械洲际出口金额分布情况，2023**：
   - 饼状图显示各洲出口金额占比，欧洲最高，其次是北美和亚洲。

3. **中国各类医疗器械商品出口占比情况，2023**：
   - 饼状图显示各类医疗器械商品出口占比，医用耗材最高，其次是医疗设备。

---

#### 来源：
- 公司官网、弗若斯特沙利文、头豹研究院

#### 标识：
- 沙利文公司标识、头豹研究院标识

---

### 前一页内容概要：
- **标题**：器械出海：国内外盈利空间差距大，本土企业出海寻出路
- **副标题**：海外医疗器械市场定价高，盈利空间大；国内带量采购政策显著降价，压缩企业盈利空间，本土企业需出海寻找新机遇
- **段落内容**：
  - 海外市场盈利空间大，以PCI冠脉支架和骨科膝关节植入手术为例。
  - 国内带量采购政策导致价格大幅下降，压缩企业盈利空间。
  - 本土企业需出海寻找新增长点。
- **图表**：
  - 外资品牌国内外冠脉支架产品销售价格及手术植入价格对比。
  - 全国范围医疗器械带量采购情况，2020-2023。

---

### 后一页内容概要：
- **内容描述**：医疗器械出海的挑战及各国医疗器械注册监管要求
- **表格内容**：
  - **美国**：FDA，I-III类，III类需PMA申请
  - **欧盟**：CE和各国药监认证，MDR执行，IVD分A-D类
  - **日本**：PMDA，I-IV类，不同类别不同监管方式
  - **中国**：NMPA，I-III类，市级到国家级药监部门负责
  - **海外发展中国家**：当地药监，I-III（IV）类，部分国家简化FDA和CE认证产品流程，认可NMPA认证

#### 标识：
- 沙利文、头豹等公司标志
