这是一张关于“2024年全球材料展望”的分析图表，列出了关于材料行业的四个关键见解。每个见解都有相应的图标和文字描述。

1. **行业状况**：
   - 尽管持续动荡，2023年的财务状况良好，但2024年的前景较为悲观。
   - 材料行业自千禧年以来增长强劲，2023年收入约为8万亿美元。EBITDA（息税折旧摊销前利润）增长至1.7万亿美元，其中9000亿美元来自金属和采矿行业。
   - 材料行业在2023年表现健康，净债务与EBITDA比率较低，但2024年面临挑战，因为经济放缓和低碳技术的转变。

2. **供应增长**：
   - 供应增长速度超过预期，技术创新加速，但需求前景存在不确定性。
   - 与2020年相比，锂和镍的实际产量比预期高出近20%。
   - 技术创新导致需求模式快速调整，电池化学成分的变化和电动汽车对稀土元素的需求增加。

3. **供应集中**：
   - 供应集中在少数国家，导致保护本地产业的破坏性政策。
   - 中国在许多材料领域占据主导地位，供应链的集中带来了风险和机会。

4. **中国投资者的行动**：
   - 中国投资者积极增加对全球采矿资产的所有权。
   - 中国在精炼和采矿方面的投资显著增加，尤其是在铜、锂和镍等关键材料上。

图表底部还包含了一些注释和来源信息，指出了一些数据的具体来源和背景。
