这是一张由国盛证券制作的关于2018-2021年各板块龙头公司毛利率和净利率的折线图，以及2021年各细分赛道龙头公司单店营收、爬坡期及坪效的表格。具体内容如下：

1. **折线图部分**：
   - **毛利率**：展示了2018-2021年各板块龙头公司（包括爱尔眼科、通策医疗、锦欣生殖、朗姿股份、雍禾医疗、美年健康、固生堂）的毛利率变化情况。各公司的毛利率在这几年中有所波动，但总体趋势较为稳定。
   - **净利率**：展示了2018-2021年各板块龙头公司（包括爱尔眼科、通策医疗、锦欣生殖、朗姿股份、雍禾医疗、美年健康、固生堂）的净利率变化情况。各公司的净利率在这几年中也有所波动，但总体趋势较为稳定。

2. **表格部分**：
   - **2021年各细分赛道龙头公司单店营收、爬坡期及坪效**：展示了眼科医院、口腔医院、辅助生殖、医美医院、植发医院、体检中心、中医诊疗等细分赛道龙头公司的单店营收（单位：亿元）、单店面积（单位：平方米）、爬坡期（单位：年）和坪效（单位：万元/平方米）。例如，爱尔眼科的单店营收为4.58亿元，单店面积为1200平方米，爬坡期为4-5年，坪效为3.82万元/平方米。

3. **文字部分**：
   - 描述了下游高费用率制约平均净利率低于20%的情况，以及以异地复制能力与营运效率跑出规模优势的情况。
   - 提到了医疗美容以轻资产运营，爬坡与坪效领先的情况，并给出了各细分赛道龙头公司的爬坡期和坪效数据。

4. **其他信息**：
   - 图片底部注明了数据来源为Wind、各公司官网&年报&招股说明书、大众点评、康护网、好孕帮、国盛证券研究所。
   - 图片右上角有国盛证券的标志和名称。

这张图片通过图表和文字详细展示了不同医疗板块龙头公司在2018-2021年的财务表现，以及2021年各细分赛道龙头公司的经营情况。
