这张图片来自于沙利文（Frost & Sullivan）和头豹（LeadLeo）的研究报告，标题为“2024年中国医疗大健康产业发展白皮书”。图片主要描述了中国制药行业的发展趋势，特别是生物制药产业的创新和海外市场的拓展。

图片中包含了一些关键数据和图表：

1. **中国创新药上市申请审批时间（2018-2022）**：
   - 图表显示，2018年审批时间为692天，2019年下降到570天，2020年上升到607天，2021年下降到562天，2022年进一步下降到560天。
   - 数据单位为日，并注明以递交NDA至上市所需时间计算。

2. **中国制药企业出海项目类型（2018和2022）**：
   - 2018年，创新药占40%，技术占60%。
   - 2022年，创新药占73%，技术占23%。

3. **不同出海模式为药企提供运营成本与研发数据要求**：
   - 图表显示，2018年临床前占24%，临床I期占13%，临床II期占23%，临床III期占23%，上市占17%。
   - 2019年，临床前占27%，临床I期占14%，临床II期占30%，临床III期占14%，上市占15%。
   - 2020年，临床前占24%，临床I期占11%，临床II期占29%，临床III期占20%，上市占16%。
   - 2021年，临床前占15%，临床I期占17%，临床II期占19%，临床III期占18%，上市占31%。
   - 2022年，临床前占33%，临床I期占13%，临床II期占13%，临床III期占4%，上市占33%。

4. **文本内容**：
   - 描述了中国制药企业在全球市场的创新和研发实力，特别是License-out交易的增加。
   - 提到2022年License-out项目多元化发展，以及中国制药企业在海外市场的拓展和成熟度提升。

总体来说，这张图片展示了近年来中国制药行业在创新和国际化方面的显著进步，以及未来发展的潜力。
