这张图片展示了中国患者援助手册中关于主要慈善组织的介绍。图片中列出了五个慈善组织的详细信息，包括它们的成立时间、登记机构、组织性质、主要援助项目类型和组织官网。具体内容如下：

1. **中华社会救助基金会**
   - 成立时间：2009年
   - 登记机构：民政部
   - 组织性质：公募基金会
   - 主要援助项目类型：扶贫助学、助老、医疗救助、药品援助、资金援助、公益科普
   - 组织官网：www.csa.org.cn

2. **中国妇女发展基金会**
   - 成立时间：1988年
   - 登记机构：民政部
   - 组织性质：公募基金会
   - 主要援助项目类型：女性就业创业、医疗援助、药品援助、资金援助、公益科普宣传、紧急救灾安置、扶贫助学
   - 组织官网：www.cwdf.org.cn

3. **中国红十字基金会**
   - 成立时间：1994年
   - 登记机构：民政部
   - 组织性质：公募基金会
   - 主要援助项目类型：医疗救助、健康干预、赈济救灾、社区发展、教育促进、国际援助、公益科普
   - 组织官网：www.crcf.org.cn

4. **中国残疾人福利基金会**
   - 成立时间：1983年
   - 登记机构：民政部
   - 组织性质：公募基金会
   - 主要援助项目类型：扶贫助学、残疾人就业、儿童助养、患者援助
   - 组织官网：www.cdf.org.cn

5. **北京仁泽公益基金会**
   - 成立时间：2012年
   - 登记机构：北京市民政局
   - 组织性质：非公募基金会
   - 主要援助项目类型：药品援助、资金援助、患者教育、医生教育、科研基金、公益活动
   - 组织官网：www.renzeroundation.org

6. **北京爱谱癌症患者关爱基金会**
   - 成立时间：2015年
   - 登记机构：北京市民政局
   - 组织性质：非公募基金会
   - 主要援助项目类型：药品援助、资金援助、公益科普
   - 组织官网：www.aipufd.com

图片的左上角有“中国患者援助手册”和“附录二：主要慈善组织介绍”的标注，说明这是手册中的一部分内容。
