这张图片展示了医疗AI主要应用场景——AI医学影像的相关数据。以下是图片内容的详细描述：

1. **标题**：2.2.1 医疗AI主要应用场景——AI医学影像

2. **主要内容**：
   - **已获批三类证的AI医学影像产品以早期筛查为主，能对疾病进行定性诊断的获证产品较少**：
     - 截至2021年11月底，已获批NMPA三类证的AI医学影像产品主要应用于颅内肿瘤、糖网、心血管疾病、肺结节、肺炎、骨折等领域。
     - 其中，肺部产品数量最多，为9款；颅内肿瘤辅助诊断和骨龄辅助评估类软件数量最少，均为1款。
     - 应用模式方面，基于CT模式的AI医学影像获证产品数量最多，占比为61.9%；仅有1款基于MR模式的AI医学影像产品获证。

3. **饼图**：
   - **按应用病种分布**：
     - 颅内肿瘤：4.8%
     - 糖网：9.5%
     - 心血管疾病：23.8%
     - 肺结节：19.0%
     - 肺炎：14.3%
     - 骨折：9.5%
     - 骨龄评估：4.8%
     - 其他：14.3%
   - **按应用模式分布**：
     - CT：61.9%
     - MR：9.5%
     - X射线：9.5%
     - 心电图：4.8%
     - 眼底图像：14.3%

4. **数据来源**：国家药监局，动脉网，36氪研究院
   - 统计时间截至2021年11月18日

5. **获证产品按应用场景分类**：
   - **辅助检测**：23.8%
     - 病种：肺结节、肋骨骨折等
     - 功能：自动识别病灶，分析影像特征
   - **辅助分诊及评估**：57.1%
     - 病种：肺炎、心血管疾病、骨龄评估等
     - 功能：辅助分诊提示、辅助病情评估
   - **辅助诊断**：19.0%
     - 病种：颅内肿瘤、糖网等
     - 功能：辅助判断是否患病、辅助进行疾病分类

6. **图片底部**：展示了获证NMPA三类证的AI医学影像产品分布情况（按应用场景）的饼图，并注明数据来源和统计时间。

这张图片详细展示了AI医学影像在医疗领域的应用情况，包括获证产品的分布、应用病种和模式，以及按应用场景分类的产品情况。
