这张图片展示了爱尔眼科的财务和运营数据，以及公司的发展策略。图片分为几个部分，每个部分都有不同的图表和文字说明。

1. **标题和公司名称**：图片的顶部显示了标题“4.6 爱尔眼科：分级连锁打造品牌，并购模式突破扩张限制”，以及公司的名称“国盛证券”。

2. **文字说明**：左侧的文字部分详细描述了爱尔眼科的发展策略和管理能力：
   - 强化经营管理能力，为规模化扩张奠定基础。
   - 在医院层面坚持管理人才与技术人员有机结合，全面推行院、科、岗三级管理体制。
   - 在总部层面优化集团职能部门与各地区的联合工作机制，落实各项工作规范。
   - 分级连锁+同城网络实现高效的资源配置，打造品牌力。
   - 并购基金模式加速扩张，公司通过参与投资产业并购基金，许可其投资、设立的医院使用公司指定商标及“爱尔”字号，更好地满足各地眼科患者的需求。

3. **图表**：
   - **图1：爱尔眼科总营收及净利润（亿元，%）**：展示了2016年至2021年上半年的营业收入和归母净利润，以及营收和利润的增长率。
   - **图2：爱尔眼科主营业务构成（亿元）**：展示了2016年至2021年上半年的主营业务构成，包括准分子手术、视光服务、白内障手术、眼前段手术、眼后段手术和其他。
   - **图3：爱尔眼科毛利率及净利率水平（%）**：展示了2016年至2021年上半年的毛利率和净利率。
   - **图4：爱尔眼科费用率水平（%）**：展示了2016年至2021年上半年的销售费用率、管理费用率、研发费用率和财务费用率。

4. **数据来源**：图片底部注明了数据来源为“Wind，国盛证券研究所”。

总体而言，这张图片详细展示了爱尔眼科的财务表现、业务构成以及公司的发展策略，通过图表和文字说明提供了全面的信息。
