这张图片展示了中国医疗AI市场的规模和增长趋势，以及医疗AI领域投资热度的分析。以下是全面分析：

### 背景信息

#### 中国医疗AI市场规模及增长趋势

1. **市场规模**：
   - 2019年市场规模为46.04亿元。
   - 2020年市场规模为66.25亿元。
   - 2021年预计市场规模为90.10亿元。
   - 2022年预计市场规模为122.04亿元。
   - 2023年预计市场规模为176.59亿元。
   - 2024年预计市场规模为250.81亿元。
   - 2025年预计市场规模为348.73亿元。

2. **增长趋势**：
   - 2019年至2025年，中国医疗AI市场规模预计将以年均复合增长率39.4%增长。
   - 同比增速从2019年的53.1%逐渐下降到2025年的39.0%。

#### AI医学影像市场规模

1. **市场规模**：
   - 2019年市场规模为1.2亿元。
   - 2020年市场规模为3.4亿元。
   - 2021年预计市场规模为8.2亿元。
   - 2022年预计市场规模为17.9亿元。
   - 2023年预计市场规模为47.5亿元。
   - 2024年预计市场规模为88.4亿元。
   - 2025年预计市场规模为137.6亿元。
   - 2026年预计市场规模为208.3亿元。
   - 2027年预计市场规模为302.3亿元。
   - 2028年预计市场规模为432亿元。
   - 2029年预计市场规模为617亿元。
   - 2030年预计市场规模为923.1亿元。

2. **增长趋势**：
   - 2020-2030年，中国AI医学影像市场规模预计将以年均复合增长率75.1%增长。

### 投资热度分析

1. **总体趋势**：
   - 2013年至2021年10月，中国医疗AI领域共发生1121起投资事件，投资总金额达1718.19亿元。
   - 投资热度呈现波动上升态势，2018年达到近年来的高位，2019年有所回落，2020年又迅速回升。

2. **年度变化**：
   - 2013-2016年，医疗AI领域的股权投资规模相对较小。
   - 2017年-2021年保持较高增长态势。

3. **细分领域**：
   - 医学影像、医疗信息化、新药研发等成为医疗AI领域热门投资方向。
   - 2021年1月-10月，AI医学影像为最热门赛道，投资案例数合计39起，占投资总数的27.86%。

### 总结

这张图片全面展示了中国医疗AI市场的规模和增长趋势，以及医疗AI领域投资热度的变化。整体来看，尽管投资热度有波动，但总体趋势是上升的，特别是AI医学影像等细分领域备受资本青睐。
