### QA对

**问：互联网医疗行业的发展经历了哪些阶段？**

**答：互联网医疗行业的发展经历了三个阶段：**

1. **萌芽与探索阶段（2000-2014年）**：2014年，首次允许互联网药品经营企业销售处方药，标志着互联网医疗的起步。

2. **爆发与洗牌阶段（2015-2017年）**：2016年，互联网医疗首次被纳入国家战略层面，2017年，国家加强对互联网医疗的监管与管理。

3. **圈地与突破阶段（2018-2020年）**：2019年，明确互联网医疗保报销制度，2020年，疫情推动互联网+医疗服务模式的发展，支付政策细则落地。

**问：互联网医疗行业的关键年份有哪些？**

**答：互联网医疗行业的关键年份包括：**

- **2014年**：首次允许互联网药品经营企业销售处方药。
- **2016年**：互联网医疗首次被纳入国家战略层面。
- **2017年**：国家加强对互联网医疗的监管与管理。
- **2019年**：明确互联网医疗保报销制度。
- **2020年**：疫情推动互联网+医疗服务模式的发展，支付政策细则落地。

**问：互联网医疗行业的融资规模如何变化？**

**答：互联网医疗行业的融资规模在2018-2019年显著增加，反映了行业的快速发展。**
