这张图片展示了一份关于人工智能技术在医疗行业发展的研究报告，标题为“人工智能技术加速突破，为医疗AI行业发展提供创新动力”。报告由36氪研究院发布。

报告的主要内容如下：

1. **人工智能技术发展现状**：
   - 人工智能技术已经取得了长足的进步，特别是在语音识别、机器学习等领域。
   - 人工智能技术与医疗健康领域的融合不断加深，尤其是在计算机视觉、自然语言处理、机器学习等方面。

2. **人工智能技术在医疗行业的应用**：
   - **计算机视觉**：主要用于医疗信息化、医学影像、药物研发等场景。例如，智能导诊机器人可以识别患者性别、年龄等信息；计算机视觉技术可以对CT、MRI等影像进行图像分割、特征提取。
   - **自然语言处理（NLP）**：主要用于电子病历、健康管理、药物研发等场景。例如，利用自然语言处理能够将诊疗记录、医嘱等进行标准化、结构化重构，形成电子病历数据。
   - **机器学习**：广泛应用于医疗行业各个场景。例如，学习大量临床影像数据和诊断经验，进行辅助诊疗；利用深度学习技术对分子结构进行分析与处理，缩短药物研发周期。

3. **我国AI科研产出水平**：
   - 根据报告，我国AI科研产出水平位居全球前列。近十年，中国AI专利申请量为389,571件，位居世界第一，占全球总量的74.7%，是排名第二的美国专利申请量的8.2倍。
   - 在自然语言处理、芯片技术、机器学习、信息检索与挖掘等10多个AI子领域，中国的科研产出水平都紧随美国之后，居于世界前列。

4. **未来展望**：
   - 随着我国医疗AI复合型人才相对稀缺等短板的不断补足，人工智能技术与医疗领域的融合将进一步加深，赋能医疗行业高质量发展。

报告还引用了《中国人工智能发展报告2020》的数据，进一步强调了我国在人工智能领域的领先地位。
