这张图片展示了2018年至2023年中国中药类产品进出口贸易的详细情况，以及2023年细分产品的进出口贸易情况。图片分为两部分，左侧为柱状图，右侧为饼状图。

**左侧柱状图：**
- 标题：中国中药类产品进出口贸易情况，2018-2023
- 单位：亿美元
- 数据：展示了2018年至2023年每年的进口贸易额和出口贸易额，其中进口贸易额用深色表示，出口贸易额用浅色表示。
- 增长率：图片中标注了2023年相对于2022年的增长率，进口贸易额增长9.21%，出口贸易额增长6.91%。

**右侧饼状图：**
- 标题：中国中药类产品进出口贸易情况细分占比，2023
- 单位：%
- 数据：展示了2023年不同中药类产品的进出口贸易占比，包括提取物、中成药、中药材及饮片、保健品。
- 进口：提取物占59.7%，中成药占24.2%，中药材及饮片占6.2%，保健品占9.9%。
- 出口：提取物占40.2%，中成药占21.5%，中药材及饮片占14.7%，保健品占23.7%。

这张图片提供了中国中药类产品进出口贸易的详细数据，展示了不同年份和不同产品的贸易情况，以及2023年的细分占比。这些数据有助于了解中药类产品在国际市场上的表现和趋势。
