### 简要内容输出

#### 1. **标题和章节**
- **标题**：2.3 患者援助项目发展概况
- **章节**：第二章 中国患者援助行业分析

#### 2. **项目情况**
- **药品援助项目**：
  - **2020年数量**：115个
  - **占比**：85%
- **资金援助项目**：
  - **2020年数量**：20个
  - **占比**：15%

#### 3. **数据来源**
- 各大基金会年度披露数据
- 基金会中心网
- 行业专家访谈信息整理与分析

#### 4. **图表分析**
- **图2.4**：患者援助类项目按项目类别划分（2016 vs 2020）
  - **2016年**：
    - 药品援助：90%
    - 资金援助：10%
  - **2020年**：
    - 药品援助：85%
    - 资金援助：15%
- **图2.5**：患者援助类项目按是否进入医保划分（2016 vs 2020）
  - **2016年**：
    - 进入医保：5%
    - 未进入医保：95%
  - **2020年**：
    - 进入医保：25%
    - 未进入医保：75%

#### 5. **文字描述**
- **药品援助项目**：2020年占比85%，数量115个。
- **资金援助项目**：2020年数量20个，占比15%。
- **进入医保的项目**：2020年86个项目进入医保，占比75%；2016年仅3个，占比5%。

#### 6. **前一页内容**
- **表格**：2020年慈善组织在患者援助项目捐赠金额与项目数量排行
  - **中华慈善总会**：捐赠705533万元，项目23个
  - **中国初级卫生保健基金会**：捐赠285278万元，项目40个
  - **中国癌症基金会**：捐赠145820万元，项目10个
  - **北京白求恩公益基金会**：捐赠33542万元，项目10个
  - **北京康盟慈善基金会**：捐赠23172万元，项目18个
  - **北京红心相通公益基金会**：捐赠11886万元，项目6个
  - **中华社会救助基金会**：捐赠9941万元，项目2个
  - **中国妇女发展基金会**：捐赠9892万元，项目3个
  - **中国红十字基金会**：捐赠1266万元，项目3个
  - **中国残疾人福利基金会**：捐赠1188万元，项目6个

#### 7. **后一页内容**
- **饼状图**：患者援助项目按捐赠价值和项目周期划分（2016 vs 2020）
  - **图2.6**：按捐赠价值划分
    - **2016年**：
      - 5,000万元以下：71%
      - 5,000万-2亿元：14%
      - 2亿元以上：15%
    - **2020年**：
      - 5,000万元以下：74%
      - 5,000万-2亿元：16%
      - 2亿元以上：10%
  - **图2.7**：按项目周期划分
    - **2016年**：
      - 1年周期：31%
      - 2-3年周期：21%
      - 4-6年周期：46%
      - 7年以上周期：3%
    - **2020年**：
      - 1年周期：20%
      - 2-3年周期：39%
      - 4-6年周期：28%
      - 7年以上周期：13%
- **趋势分析**：
  - 低价值援助项目占比上升
  - 高价值援助项目占比下降
  - 项目周期整体缩短

#### 8. **数据来源**
- 各大基金会年度披露数据
- 基金会中心网
- 行业专家访谈信息整理与分析

---

以上内容简要概括了所提供信息的核心细节，涵盖了项目情况、数据来源、图表分析和前后页内容的要点。
