这张图片展示了中国互联网医院在数字医疗和互联网医疗领域的融资情况，以及2019年医疗健康行业独角兽企业的分布情况。图片中的图表和文字描述提供了以下关键信息：

1. **融资事件数量（图6）**：
   - 图表展示了2013年至2020年期间，医疗信息化和互联网医疗领域的融资事件数量。
   - 从图中可以看出，融资事件数量逐年增加，尤其在2018年和2019年达到高峰，2020年略有下降。
   - 融资事件数量在2013年最低，之后逐年增加，到2018年和2019年达到最高点。

2. **融资事件规模（图7）**：
   - 图表展示了2013年至2020年期间，医疗信息化和互联网医疗领域的融资事件规模（以亿元人民币为单位）。
   - 从图中可以看出，融资事件规模逐年增加，尤其在2019年和2020年达到高峰。
   - 融资事件规模在2013年最低，之后逐年增加，到2019年和2020年达到最高点。

3. **2019年医疗健康行业独角兽企业（表1）**：
   - 表格列出了2019年医疗健康行业的独角兽企业，包括企业名称、业务领域和估值（以亿美元为单位）。
   - 微医集团、联影医疗、复宏汉霖、明码科技等企业被列为独角兽企业，估值从10亿美元到65亿美元不等。
   - 业务领域包括互联网医疗、医疗信息化、药物研发、基因大数据等。

4. **文字描述**：
   - 文字部分提到，从融资事件数量和规模来看，医疗信息化的投资都在稳步增长，尤其在2020年政策和线上就医意识转变的推动下，信息化投资规模增长显著。
   - 投资者在这个生态圈中拥有强大的医疗资源或创新的运用模式，都会获得资本的青睐。
   - 数字智慧医疗的投资重点逐渐趋向于中后期投资，推动了数字智慧医疗领域的独角兽的诞生。
   - 根据中国大研究院发布的《中国独角兽报告2019》，医疗健康行业是第四大独角兽行业，在162家估值超过10亿美元的独角兽企业中，有14家属于医疗健康行业。

这张图片通过图表和文字描述，详细展示了中国互联网医院在数字医疗和互联网医疗领域的融资情况，以及2019年医疗健康行业独角兽企业的分布情况。
