这是一张关于医疗AI主要应用场景——AI医学影像的图片，标题为“现阶段AI技术在腹部和骨骼影像的应用场景相对较少，未来将逐步拓展”。图片中详细描述了AI技术在腹部和骨骼影像中的应用现状及未来发展趋势。

1. **腹部**：
   - 目前，国内针对腹部的AI医学影像产品主要集中在肝脏、胃、胆囊等器官上。
   - 肝脏是癌症的第二大致死原因，早期筛查是提高治疗效果的关键。
   - 肝脏结构复杂，肝脏疾病的影像诊断相对困难，对医生的专业性要求较高。
   - AI技术在肝脏影像的应用，能够更精准定位病灶区域，辅助医生对病灶进行定量定性分析，从而提高肝癌早期筛查检测率。
   - 市面上主要的肝脏影像AI产品是基于CT、MRI等模态，其中MRI具备软组织分辨率高等优势。

2. **骨骼**：
   - 现阶段，针对骨骼的AI医学影像产品主要集中在骨折和儿童骨龄领域。
   - 骨关节炎领域相关企业及产品数量较少。
   - AI骨折辅助检测、AI骨龄辅助评估领域已有相关产品获批NMPA三类证。

3. **企业及产品**：
   - 联影智能：骨折CT影像辅助检测软件，应用价值为肋骨骨折辅助检测，获批时间为2020.11。
   - 依图医疗：儿童手部X射线影像骨龄辅助评估软件，应用价值为骨龄辅助评估，获批时间为2021.03。
   - 汇医慧影：骨折X射线图像辅助检测软件，应用价值为骨折辅助检测，获批时间为2021.04。

4. **具体来看**：
   - 骨折方面，以肋骨骨折辅助筛查/诊断为主流产品，能够辅助检测颅骨、手骨等全身多部位骨折的AI医学影像产品相对较少。
   - 骨龄评估方面，国内目前已有数家企业进军AI骨龄辅助评估领域，但在技术难度更高的辅助疾病诊断、辅助疗效评估领域成熟产品较少。

5. **图表**：
   - 图片中有一个图表，展示了AI技术在骨骼影像中的主要应用情况，包括骨龄评估、骨折、骨关节炎等。

6. **资料来源**：
   - 国家药监局，36氪研究院。

这张图片详细介绍了AI技术在医疗影像领域，特别是腹部和骨骼影像中的应用现状及未来发展趋势，并列举了一些具体的企业和产品。
