### 图表描述
这张图表详细展示了沙利文（Frost & Sullivan）在生命科学行业领域的全域投资管理（TIM）服务及其市场份额。图表分为两部分：

1. **服务模块**：
   - **知识中心**：提供蓝皮书、深度文章等。
   - **品牌增长服务**：包括品牌活动、GIL奖项等。
   - **生物科技企业国际化战略服务**：涵盖出海策略、品牌全球发布等。
   - **增长咨询服务**：涉及产业发展规划、园区定位等。
   - **Pre-IPO服务**：包括商业计划书、估值服务等。
   - **IPO服务**：提供行业顾问、募投顾问等。
   - **Post-IPO服务**：涵盖年报更新、再融资顾问等。

2. **市场份额**：
   - 沙利文在生命科学领域市场份额超80%。
   - 2015-2023年第三季度，在香港上市细分市场连续8年领先。
   - 具体数据：香港交易所（HKEX）2018-2023年市场份额80.6%，2023年88.6%；上海证券交易所（SSE）2018-2023年市场份额75.0%，2023年85.7%。

### 图表类型
**组合图表**：结合了**流程图**（展示服务模块）和**柱状图/数据表**（展示市场份额数据）。
