### 健康消费领域产品与服务分类及价格参考

#### 左侧部分：产品与服务分类
1. **保健品**：
   - **美容类**：玻尿酸、烟酰胺、胶原蛋白
   - **纤体类**：代餐奶昔、消化排毒药剂
   - **增强免疫类**：维生素、牛磺酸

2. **健康体检**：
   - **功能类**：入职体检、婚前检查
   - **个性类**：各类疾病筛查

3. **孕产服务**：
   - **孕前产检**：孕妇中心护理、叶酸
   - **产后修复**：妊娠纹修复、美体塑形

4. **心理健康**：
   - **调节类**：促进睡眠药剂、安神类药物
   - **治疗类**：心理咨询

#### 右侧部分：主要保健产品参考价格
1. **保健品**：
   - **即食燕窝**：200-1500元/组，增强免疫力，品牌如白兰氏、燕之屋、小仙炖
   - **桃胶**：50-200元/盒，美容养颜，品牌如同仁堂、老谷头

2. **体检**：
   - **入职体检**：200-700元/次，常规项目检测，品牌如第一健康、普惠体检
   - **定制化体检**：1500-6000元/次，疾病早筛，品牌如美年健康、美兆

3. **孕产**：
   - **孕检**：500-1000元/次，判定健康状态，品牌如瑞金医院、山大生殖
   - **产后修复**：2000-5000元/次，修复体形，品牌如爱帝宫、圣贝拉

4. **心理健康**：
   - **心理咨询**：500-2000元/小时，缓解情绪压力，品牌如安肯心理、好心情

#### 数据来源
- 图片右上角：“国盛证券”标志
- 图片右下角：“数据来源：爱康国宾APP、国盛证券研究所”

### 前一页内容：医美机构竞争要素
1. **优质服务塑造品牌**：
   - 机构评价、口碑、执业资质是用户选择要素
   - 咨询师与服务人员占比40%，优质服务来自前端、医师护士、后端管理团队的配合

2. **智慧管理提升运营效率**：
   - 低标准化限制扩张，高坪效与人效依赖强运营
   - 头部机构采用分级管理模式，提升运营效率

3. **用户选择医生因素**：
   - 海外经历、审美能力、从业年限等

4. **医美机构人员结构**：
   - 运营、行政、医护、咨询等占比

5. **医生手法与手术效果**：
   - 产品选择、注射层次等

6. **朗姿医美业务管控体系**：
   - 集团、股份、医疗、事业部等多级管控

7. **美国整形外科医师培养制度**：
   - 学位/实习、医师培养路径

#### 数据来源
- 艾瑞咨询、中国整形美容协会教育培训中心、健康界、国盛证券研究所

### 后一页内容：行业空间分析
1. **市场规模预测**：
   - 2016-2023年市场规模增长，预计2023年达3283亿元

2. **中美保健品渗透率**：
   - 美国各年龄段渗透率高于中国

3. **中国保健行业主要产品占比**：
   - 维生素和膳食补充剂、中草药等占比

4. **健康体检市场规模**：
   - 2015-2023年市场规模增长，预计2023年达3283亿元

5. **年健康体检人次**：
   - 2008-2020年人次增长，CAGR 6.31%

6. **健康体检客单价**：
   - 2015-2020年客单价增长，CAGR 9.51%

#### 数据来源
- IQVIA、智研咨询、华经产业研究院、中国卫生健康统计年鉴、国盛证券研究所
