这张图片展示了中国互联网医院的发展现状和未来趋势。图片中包含了一些文字和图表，具体内容如下：

1. **标题**：图片的标题是“中国互联网医院：数字医疗迈向新阶段 | 互联网医院的挑战与应对”。

2. **主要内容**：
   - **盈利模式尚不成熟**：虽然大多数互联网医院处于亏损状态，但医保政策落地有利于构建互联网医院稳定且可持续的盈利模式。
   - **互联网医院主要营收**：互联网医院主要通过问诊咨询、处方药续方、器械保健品消费以及个人医疗延伸消费（如体检、医美、康复等）来获取收入。
   - **未来趋势**：互联网医院将逐步发展，未来问诊分成是重要盈利点。
   - **市场规模**：预计到2028年，线上药品零售规模将超过5000亿人民币，互联网医院可以对接医药电商、引流线下DTP药房和药店等。
   - **健康管理**：互联网医院将推动患者健康管理，提升患者黏性和复购率。
   - **个人医疗延伸**：互联网医院将催生或引导个人消费医疗需求，发展延伸产业链，赋能患者健康管理。

3. **图表**：图片中包含一个图表，列出了互联网医院的四个主要营收环节：
   - **问诊咨询**
   - **处方药续方**
   - **OTC、保健品及医疗器械**
   - **个人医疗延伸**

4. **未来展望**：随着未来更开放的政策、先进的科技和全面的平台管理方案，互联网医院将提高“诊前”能力和“诊后”远程服务和随访能力，打造覆盖个人健康全方位的互联网医院。预计到2025年，互联网医院的市场渗透率将达到30%，市场规模将超过五千亿元。

5. **数据来源**：图片底部注明了数据来源为“健康界研究院：《2020年中国互联网医院发展研究报告》”。

这张图片详细介绍了中国互联网医院的发展现状、主要营收环节以及未来的发展趋势，为读者提供了全面的信息。
