这张图片展示了关于安德医智案例分析的内容。图片的标题是“安德医智以人才、技术、资源和数据优势抢占发展先机，持续构建竞争壁垒”。图片中列出了安德医智在人才、技术、资源、数据等方面的优势。

1. **人才**：
   - 聚集医学、人工智能等专业领域顶尖人才团队。
   - 公司算法及软件团队成员具有新加坡国立大学、哈佛大学、麻省理工学院、清华大学等世界顶级学府背景。
   - 医疗专家团队来自中国顶级医院，具有深厚和扎实的临床、科研经历。
   - 2020-2021年，公司引进的青年科技人才连续获得北京市科技新星称号。

2. **技术**：
   - 坚持自有算法，有效提升诊断精度和效率。
   - 公司自主研发基于神经网络的加密算法、基于深度学习的医学图像配准方法等多项关键技术，以多任务同步分析的大模型带动精度和效率的提升。
   - 目前，安德医智已申请国内国际专利70余项，其中90%为发明专利，已获专利授权32项。

3. **资源**：
   - 深化战略合作，加快产品研发创新。
   - 公司与北京天坛医院共同成立全球首家神经疾病人工智能研究中心，与MIT人工智能实验室、新加坡国立大学、中国人民解放军总医院等多家顶级机构建立紧密战略合作关系。
   - 其中，天坛医院在神经外科和神经内科排名全国双第一、全球前三，安德医智与其合作研发了世界首款神经系统疾病CT/MRI影像人工智能辅助诊断系统等产品。

4. **数据**：
   - 充分发挥合作资源优势，保障医疗数据的质量与安全。
   - 公司以全球数量极大、完整性极高、质量一流的多模态医疗数据库为研发基础，保障人工智能计算和学习能力。
   - 同时，所有研发及训练工作均在医院内网完成，确保数据“不出院”，充分满足数据安全需要。

图片下方有一个图示，展示了安德医智持续构建竞争壁垒的四个方面：顶尖人才团队、自有算法、深化战略合作、医疗数据兼具质量和安全。每个方面都有相应的描述。图片的资料来源是安德医智和36氪研究院整理。
