这张图片来自麦肯锡公司（McKinsey & Company）的《全球银行业年度回顾2024：实现逃逸速度》。图片中包含两个图表，分别展示了全球银行业与其他行业的市净率（Price-to-book ratio）变化情况。

1. **图表标题**：
   - 上方的图表标题是“资本市场对银行业相对于其他行业的估值折扣越来越大”。
   - 下方的图表标题是“按行业划分的市净率，2023年”。

2. **图表内容**：
   - 上方的图表展示了2003年至2023年全球银行业与其他行业的市净率变化趋势。全球银行业的市净率显著低于其他行业，并且差距在逐年扩大。具体数据表明，全球银行业的市净率下降了68%，而其他行业的市净率下降了30%。
   - 下方的图表展示了2023年不同行业的市净率。具体数据如下：
     - 科技、媒体和电信：4.7
     - 制药和医疗产品：4.5
     - 商务服务：4.1
     - 消费者：3.7
     - 医疗保健：3.0
     - 非存款金融机构：2.7
     - 能源：2.3
     - 保险：1.9
     - 旅行、物流、材料和基础设施：1.8
     - 房地产：1.7
     - 企业集团：1.4
     - 全球银行业：0.9

3. **文字说明**：
   - 文字部分提到，全球银行业的市净率仅为0.9，是所有行业中最低的，这表明市场预期银行业将整体侵蚀经济价值。
   - 文字还提到，尽管行业已经降低了成本并保持了信贷质量，但自2021年以来收益的改善似乎主要归因于利率上升。如果没有利率支持，行业的ROTE（税前资产收益率）可能会下降。

4. **来源**：
   - 数据来源于麦肯锡全景图（McKinsey Panorama）和麦肯锡价值情报（McKinsey Value Intelligence），基于约15,000家公开交易公司的数据。

这张图片通过图表和文字说明，展示了全球银行业在资本市场上的估值折扣问题，以及与其他行业的对比情况。
