这是一张来自麦肯锡公司（McKinsey & Company）的图片，内容涉及为残疾人开发有见地且公平的护理路径的三个步骤。图片中的文本主要分为两部分：第一部分是关于开发护理路径的总体介绍，第二部分是关于构建有见地护理路径的第一步，即考虑护理旅程中的指导性问题。

### 第一部分：总体介绍
- **目的**：帮助利益相关者开发疾病特定的护理路径，考虑残疾人的需求。
- **目标**：了解健康不平等，并识别有效的干预机会。
- **步骤**：
  - 政府机构可以通过完成此练习来开发国家项目，以识别系统差距并开发有针对性的干预措施。
  - 卫生系统可以利用此练习来了解患者的需求，确保护理的可达性。
  - 资助者可以通过完成此练习来识别健康不平等，并据此进行投资组合决策或资助研究。
  - 护理交付组织可以利用此练习来了解其特定疾病护理路径。

### 第二部分：构建有见地护理路径的第一步
- **步骤1：识别路径组件并收集数据**
  - **识别路径组件**：将路径分解为各个组件，如意识与预防、筛查与诊断、治疗、随访和持续护理。
  - **收集定量和定性数据**：定量数据依赖于具体的疾病护理路径，而定性数据则涉及与患者、护理人员和其他利益相关者的访谈。

- **关键问题**：
  - **意识与预防**：
    - 残疾人是否面临更高的风险？
    - 他们是否面临信息、意识或预防的障碍？
    - 是否有关于此问题的定量或定性数据？
  - **筛查与诊断**：
    - 主要的筛查方法是什么？
    - 残疾人可能面临哪些困难？
    - 是否有数据表明不同残疾状态之间的差异？
  - **治疗**：
    - 是否有关于治疗的数据？
    - 残疾人面临的主要障碍是什么？
    - 是否有关于此问题的定量和定性数据？
  - **随访和持续护理**：
    - 是否有关于成功治疗完成的数据？
    - 残疾人面临的主要障碍是什么？
    - 是否有关于此问题的定量和定性数据？

图片底部还提到了一些数据来源，如全球健康数据交换（Global Health Data Exchange）、联合国儿童基金会（UNICEF）的多个指标集群调查（Multiple Indicator Cluster Surveys）和人口与健康调查（Demographic and Health Surveys, DHS）项目。
