这是一张关于云知声（1/2）的图片，展示了该公司在AI技术领域的核心能力和应用场景。图片中包含以下主要内容：

1. **公司介绍**：
   - 云知声是一家为企业提供智能语音技术和综合解决方案的人工智能企业，专注于“万物智联、知音知心”的愿景。
   - 提供智能语音交互产品、智慧物联解决方案及人工智能技术服务，尤其在智慧医疗领域有广泛应用。

2. **核心优势**：
   - 产品领域覆盖全面：覆盖医疗、卫生管理部门、医院、保险公司等多个领域。
   - 商务落地近400家：与400多家医院合作，覆盖大部分区域内的标杆医院。
   - 储备客户700+：与700多家医院合作，上线测试，商业导入潜力巨大。
   - 全栈AI技术：提供从感知到认知的完整解决方案。
   - 业内领先的医疗知识图谱：覆盖临床知识图谱，提供丰富的医疗知识库。
   - 顶尖的自然语言理解技术：提供自然语言处理技术，支持多种语言。

3. **解决方案及产品布局**：
   - **效率工具**：
     - 医疗语音交互解决方案：包括语音电子病历、医技科室语音助手等。
     - 智能患者服务：包括导医机器人、智能随诊解决方案等。
   - **决策支持产品**：
     - 质控/合规：智能病历质控系统、医疗服务监管、医保支付审核等。
     - 决策支持：医疗行为（临床医学）、医疗费用（卫生经济学）等。

4. **基础技术支撑**：
   - 多场景应用扩展：智能语音识别、临床知识图谱、自然语言理解、可视化数据抽取与融合、非结构化数据病历文书等。

5. **产品功能及特点**：
   - 医疗语音文字转写、科室专用词定制优化、定制结构化模版、医疗特殊术语替换等。
   - 质控/合规系统：病历缺陷自动筛查、病历缺陷人工核实工具、病历质控工作电子化等。
   - 决策支持：高质量医疗知识图谱、覆盖近60万概念、300万术语、400万关系等。

6. **来源**：图片来源于云知声，艾瑞咨询研究院自主研究及绘制。

7. **版权信息**：© 2022.12 iResearch Inc.

8. **网址**：www.iresearch.com.cn

这张图片详细展示了云知声在AI技术领域的核心能力和应用场景，强调了其在医疗行业的广泛应用和领先地位。
