### 图表描述

这张图表来自国盛证券，标题为“对标海外：我国消费医疗万亿赛道空间仍广”。图表通过多个子图展示了中国消费医疗市场的规模、增长趋势以及中美两国在医疗支出上的对比。主要内容包括：

1. **市场规模与增长**：
   - 2022年中国消费型医疗服务市场规模为1.26万亿元，预计2025年将增至2.39万亿元，CAGR为23.78%。
   - 市场规模逐年增加，但增速在2020年后有所放缓。

2. **人均医疗支出对比**：
   - 2020年中国人均医疗卫生支出为811美元，远低于美国的4.27%。
   - 中美两国在辅助生殖、眼科、口腔、医美、植发、保健品、心理健康等细分赛道上的人均支出对比，美国在各细分赛道上人均支出均高于中国。

### 图表类型

- **组合图表**：
  - **折线图**：展示中国消费型医疗服务市场规模的逐年变化及增速。
  - **柱状图**：对比中美两国人均医疗卫生支出。
  - **多系列柱状图**：展示2021年中美两国在多个消费医疗细分赛道上的人均支出对比。

这种组合图表有效整合了多种数据类型，全面展示了中国消费医疗市场的现状及与美国的差距。
