这张图片展示了一份关于中国患者援助车第二章节的捐赠企业情况分析报告。报告的标题是“2.3.4 捐赠企业情况”。根据相关公开信息统计，从捐赠价值来看，诺华、罗氏与拜耳排名前三，总捐赠价值约为640亿元，约占目前排名前20的企业总捐赠价值的67%。

图片中包含一个表格，标题为“【图2.13】患者援助项目捐赠企业榜单展示（2016-2020）”。表格列出了排名前20的药企名称、2016-2020年累计捐赠金额（万元）以及企业性质。具体内容如下：

1. 诺华，3,524,036万元，外资
2. 罗氏，1,713,441万元，外资
3. 拜耳，1,168,920万元，外资
4. 阿斯利康，973,511万元，外资
5. 辉瑞，535,207万元，外资
6. 默克，442,904万元，外资
7. 健赞，342,161万元，外资
8. 正大天晴，187,730万元，合资
9. 西安杨森，138,536万元，合资
10. 礼来，131,719万元，外资
11. 百济神州，62,375万元，外资
12. 新基，56,497万元，外资
13. 歌礼，54,418万元，外资
14. 百时美施贵宝，50,430万元，外资
15. 三生国健，46,540万元，内资
16. 齐鲁，41,414万元，内资
17. 吉利德，38,607万元，外资
18. 石药，31,971万元，内资
19. 渤健，21,708万元，外资
20. 厦门特宝，16,770万元，内资

表格底部注明了数据来源：各大基金会年度披露数据、基金会中心网及行业专家访谈信息整理与分析。
