这是一张关于数坤科技案例分析的内容截图，标题为“数坤科技以心脑血管为切入点，构建「数字医生」一站式产品矩阵”。图片中详细描述了数坤科技的发展历程和产品矩阵，包括其核心技术和产品组合。

1. **数坤科技简介**：
   - 数坤科技成立于2017年，专注于提供覆盖多个疾病领域与多诊疗流程的AI医学影像解决方案。
   - 早期，数坤科技以心脑血管疾病作为切入点，其旗舰产品CoronaryDoc实现了基于CCTA技术的心血管疾病诊断工作流程自动化突破，并已获得第三类医疗器械注册证；CerebralDoc产品实现了脑血管疾病筛查、诊断、治疗与规划全路径智能。

2. **「数字医生」一站式产品组合**：
   - 数坤科技构建起覆盖心、脑、胸、腹、肌骨5个关键治疗领域的产品矩阵。
   - 产品组合包括筛查、诊断、治疗流程的「数字医生」产品矩阵，如CaScoreDoc、SK-StrokeDoc、LungDoc、CoronaryDoc、CerebralDoc、PneumoniaDoc、LiverMRDoc、BoneDoc等。

3. **「数字人体」技术平台**：
   - 该平台包括算法层、数据资源管理层、基础设施层等，为产品组合的持续扩展奠定坚实基础。

4. **资料来源**：
   - 资料来源于公司招股书、公开资料，由36氪研究院整理。

图片中还包含了一些图标和文字，如“筛查”、“诊断”、“治疗”等，以及一些产品名称，如“CoronaryDoc”、“CerebralDoc”等。整体来看，这张图片详细介绍了数坤科技在心脑血管疾病领域的AI医学影像解决方案及其产品矩阵。
