这是一张关于2021年全球医疗行业问题的分析图。图片中包含多个部分，每个部分都详细描述了医疗行业面临的不同问题和挑战。以下是各个部分的详细描述：

1. **标题**：图片的标题是“2021年全球医疗行业的问题”。

2. **数字化转型及数据互通**：
   - 从标准化的临床方案过渡到个性化医疗。
   - 利用人工智能来提供实时护理、干预和推动消费者行为和模式的转变。

3. **工作与人才**：
   - 引入新的商业模式、指数技术和灵活的工作方式。
   - 分析产能和需求，以满足新疫情的需要。
   - 活用远程工作人员（临床和非临床）。

4. **社会经济转变**：
   - 支持个人整体健康计划。
   - 意识到需要把重点放在弱势群体上，并与政府合作修订政策和方案。

5. **消费者与患者体验**：
   - 提高消费者对其健康数据的所有权。
   - 提供清晰透明的治疗护理及费用信息。
   - 在虚拟就诊和信赖的医患关系间取得平衡。

6. **医疗模式创新**：
   - 将重点从急性护理转向预防和康复。
   - 从标准化的临床方案过渡到个性化医疗。
   - 不断发展的支付模式：基于价值/注重成果。
   - 改善财务运作方式和绩效。

7. **协同合作**：
   - 医疗行业生态系统能够支持实时数据和分析，并充当教育、预防和治疗的中心。
   - 医疗行业生态系统能够将消费者与虚拟、家庭、个人和辅助护理的医护提供者彼此连接。

8. **来源**：德勤分析。

图片中还包含了一些图标和线条，可能用于表示各个问题之间的关联。整体上，这张图片详细描述了2021年全球医疗行业面临的主要问题和挑战，并提供了相应的解决方案和策略。
