### 图表描述

这张图表来自于沙利文（Frost & Sullivan）公司的2024年中国医疗大健康产业发展白皮书，标题为“医药出海：中国药品价格优势凸显，出海市场潜力巨大”。图表通过文字和三张子图表展示了中国药品在国际市场上的价格优势和出海趋势。

1. **文字部分**：
   - 指出发达国家药品价格远高于其他地区，中国药品价格较低，具有国际价格优势。
   - 提及中国创新药出海受高利润吸引，License-out交易频创新高，逐步获得国际认可。

2. **图表部分**：
   - **第一张图表**：展示2021年全球Top25畅销药在主要国家的相对价格水平，中国价格最低，美国最高。
   - **第二张图表**：展示2021年全球各地区创新药销售额占比，美国占55%，中国占3%。
   - **第三张图表**：展示2016年、2019年和2021年中美药品类型销售分布，中国创新药比例2021年达79%。

3. **来源**：数据来源于公司官网、弗若斯特沙利文、沙利文研究院。

4. **标志**：底部有沙利文和头豹的标志。

### 图表类型

- **组合图表**：包含柱状图、饼图和堆叠柱状图。

1. **柱状图**：用于展示全球Top25畅销药在主要国家的相对价格水平。
2. **饼图**：用于展示全球各地区创新药销售额占比。
3. **堆叠柱状图**：用于展示中美药品类型销售分布比例随时间的变化。
