### 白皮书内容摘要

#### 当前页内容
**标题**：医药出海：中国药品价格优势凸显，出海市场潜力巨大

**文字部分**：
- 发达国家药品价格远高于其他地区，中国药品价格相对较低，具有国际市场价格优势。
- 中国创新药出海受高利润吸引，License-out交易频创新高，逐步获得国际认可。

**图表部分**：
1. **全球Top25畅销药价格水平（2021年）**：
   - 中国药品价格显著低于美国、德国、英国、日本等国家。
   - 美国药品价格最高，中国最低。

2. **全球各地区创新药销售额占比（2021年）**：
   - 美国占比55%，中国占比3%。

3. **中美药品类型销售分布比例（2016年、2019年、2021年）**：
   - 创新药比例逐年增加，2021年中国创新药比例达79%。

**来源**：公司官网、弗若斯特沙利文、沙利文研究院

**标志**：沙利文（Frost & Sullivan）、头豹（LeadLeo）

#### 前一页内容
**标题**：医药出海：国谈令药企承压，中国药企寻求第二发展曲线

**主要内容**：
- 创新药审批加速但医保压价严重，国内销售受阻。
- 中国药企积极出海，拓展海外市场，License-out助力海外认可。
- 国谈降价幅度扩大，挤压创新药国内市场发展空间。
- 2023年医保谈判成功率为84.6%，平均降价61.7%。
- 创新药销售放量困难，资本市场估值受影响。

**具体案例**：
- 丁甘交联玻璃酸钠（亿帆医药）：原价2590元，拟价980元，降幅62.2%。
- 拓培非格司亭注射液（宝特生物）：原价6358元，拟价2427元，降幅61.8%。
- 艾诺米替片（艾迪药业）：原价1125元，拟价724.5元，降幅35.6%。

**发展策略**：
- 中国药企寻求新路径，积极开拓海外市场。
- 创新药通过License-out、海外获批上市等方式拓展市场。

**来源**：国家医保局，弗若斯特沙利文，头豹研究院

#### 后一页内容
**标题**：2024年中国医疗大健康产业发展白皮书

**表格**：FDA拒批全球拟上市新药举例及拒批原因（2021-2023年）
- **案例**：
  - Teplizumab（Provention Bio）：高危个体临床1型糖尿病，拒因“临床试验缺乏可比性”。
  - Retifanlimab（Incysle）：肛管鳞状细胞癌，拒因“需更多数据证实临床疗效”。
  - 普那布林（万春药业）：非小细胞肺癌，拒因“数据不足以支撑临床价值”。
  - 信迪利单抗（信达生物）：非小细胞肺癌，拒因“国际多中心临床研究缺乏”。

**文字说明**：
- 中国制药企业临床试验广度和深度有待加强。
- 过往出海失败案例显示，需确保实验数据详实并考虑海外市场。

**饼图**：中国制药企业临床试验范围（2022年）
- 国内实验：91.55%
- 国际多中心试验：8.31%
- 其他：0.14%

**来源**：公司官网，弗若斯特沙利文，头豹研究院

**标志**：沙利文公司LOGO、头豹公司LOGO
