### 华源证券研究报告概要

#### 标题：源自金融活力 润泽中华大地

#### 图表分析
- **类型**：柱状图和折线图
- **数据年份**：2017年至2023年
- **内容**：
  - 自产产品收入及占比
  - 线上收入为主要来源
  - 兴趣电商潜力大

#### 文字摘要
- **公司背景**：
  - 起家于代理医疗器械，近年注重自产产品开发
  - 自产产品收入占比从2017年18.3%增长至2023年56.7%
  - 2023年自产品种收入15.3亿元，毛利率高，盈利能力提升

- **线上业务**：
  - 2014年布局线上，覆盖主要电商平台
  - “可孚”品牌在主流电商平台排名前列
  - 2023年线上收入18.3亿元
  - 兴趣电商收入同比增长超200%

- **线下渠道**：
  - 覆盖全国大部分省市连锁药房
  - 2019-2023年收入CAGR为20.8%
  - 2023年线下收入8.8亿元

#### 免责声明
- 报告底部提示读者仔细阅读正文后的免责声明

---

### 前一页内容概要

#### 标题：源引金融活水 澎润中华大地

#### 图表分析
- **内容**：销售毛利率、销售净利率、管理费用率、研发费用率、货币资金、资产负债率等财务指标变化

#### 文字摘要
- **产品结构**：
  - 五大产品线均衡发展
  - 核心业务中康复辅具收入最大
  - 2023年系统梳理产品线，聚焦核心产品迭代升级

- **分业务收入**：
  - 康复类、护理类、健康监测类及呼吸支持类产品因疫情收入大幅提升

---

### 后一页内容概要

#### 标题：五大领域产品合力构建个人健康管理生态

#### 图表分析
- **数据年份**：2017年至2023年及24年上半年
- **内容**：线上和线下数据及同比增长率（yoy）
- **形式**：红色柱状图（线上）、黄色柱状图（线下）、灰色折线（yoy）

#### 文字摘要
- **呼吸支持业务**：
  - 提供呼吸健康慢病管理服务
  - 产品包括制氧机、呼吸机及雾化器等
  - 设立呼吸支持研究院，引进高水平人才，产品快速迭代
  - 2024年多款新产品有望上市

#### 产品展示
- **类型**：制氧、呼吸、雾化
- **示例**：
  - 制氧：掌机、手提式氧气发生器
  - 呼吸：自动持续正压呼吸治疗仪
  - 雾化：压缩式雾化器、网式雾化器

#### 其他信息
- **页码**：第10页，共22页
- **免责声明**：底部提示阅读免责声明
