### 图表描述

这张图片展示了中国保健行业市场空间和发展的详细分析报告，涵盖市场规模、产品结构、保健品渗透率及健康体检数据。报告显示，保健行业正从可选消费转向必选消费，市场规模从2016年的1446亿元增长至2023年的3283亿元。中美保健品渗透率对比显示中国普遍低于美国，尤其是24岁以下和65岁以上年龄段。主要产品中，维生素和膳食补充剂占比最高。健康体检市场规模和人次持续增长，客单价从2015年的238.18元增至2020年的410.78元。

### 图表类型

1. **图1：中国保健行业市场规模及预测**
   - **类型**：折线图和柱状图组合
   - **描述**：展示2016年至2023年市场规模（亿元）和同比增长率（YoY）。

2. **图2：中美两国各年龄段保健品渗透率**
   - **类型**：分组柱状图
   - **描述**：比较中国和美国不同年龄段的保健品渗透率。

3. **图3：中国保健行业主要产品占比**
   - **类型**：堆叠柱状图
   - **描述**：显示2017年至2019年不同类型保健品的占比。

4. **图4：我国健康体检市场规模**
   - **类型**：柱状图
   - **描述**：展示2015年至2020年健康体检市场规模。

5. **图5：我国年度健康体检人次**
   - **类型**：折线图
   - **描述**：展示2008年至2020年健康体检人次的增长情况。

6. **图6：我国健康体检客单价**
   - **类型**：柱状图
   - **描述**：展示2015年至2020年健康体检客单价。
